branch	metric	n	remission	nonremission	mean_remission	mean_nonremission	estimate	se	lower	upper	p_OLS	se_HC3	lower_HC3	upper_HC3	p_HC3	p_exact_permutation	BH_two_main	scope	threshold	axis	branch_label
exclude_predicted_doublets::all_fixed::threshold10	delta_ct_logit_epi	19	6	13	-0.138807096013115	0.0494265088163854	-0.188233604829501	0.268984910306025	-0.75574215879525	0.379274949136249	0.493522579959731	0.299240074941032	-0.819574976452098	0.443107766793097	0.537685453440656	0.490269792127377	NA	all_fixed	10	CT proportion within epithelium	All fixed pairs, threshold 10
exclude_predicted_doublets::all_fixed::threshold10	delta_ct_state_score	18	6	12	1.76825296330389	-0.126618289263429	1.89487125256732	0.956956439665433	-0.133785775003335	3.92352828013798	0.0651575034026693	0.826424299889199	0.142929999826992	3.64681250530765	0.0357438451693175	0.063887093298858	NA	all_fixed	10	Six-gene score within CT state	All fixed pairs, threshold 10
exclude_predicted_doublets::v31_only::threshold10	delta_ct_logit_epi	15	6	9	-0.138807096013115	0.0817992248723403	-0.220606320885455	0.275841660321678	-0.816525997991064	0.375313356220153	0.438221710070467	0.309535526934566	-0.889317171336585	0.448104529565674	0.488626475372976	0.433966033966034	NA	v31_only	10	CT proportion within epithelium	v3.1 only, threshold 10
exclude_predicted_doublets::v31_only::threshold10	delta_ct_state_score	14	6	8	1.76825296330389	-0.231983369085037	2.00023633238893	1.18818101424718	-0.588587705419844	4.5890603701977	0.118101333062911	1.1436803195274	-0.491629020835287	4.49210168561314	0.10580747016116	0.119214119214119	NA	v31_only	10	Six-gene score within CT state	v3.1 only, threshold 10
exclude_predicted_doublets::author_both::threshold10	delta_ct_logit_epi	17	4	13	-0.104927989517946	0.0387587810426561	-0.143686770560602	0.362770642479234	-0.916914091615393	0.62954055049419	0.697621847899886	0.460229171709215	-1.12464202945356	0.837268488332357	0.759181181594009	0.689915966386555	NA	author_both	10	CT proportion within epithelium	Author-paired subset, threshold 10
exclude_predicted_doublets::author_both::threshold10	delta_ct_state_score	16	4	12	2.15378790342954	-0.0521174566109622	2.2059053600405	1.14440123105831	-0.248591165970099	4.6604018860511	0.0744473000182682	0.95201441260802	0.164037521172933	4.24777319890807	0.0361581148161969	0.078021978021978	NA	author_both	10	Six-gene score within CT state	Author-paired subset, threshold 10
exclude_predicted_doublets::all_fixed::threshold20	delta_ct_logit_epi	19	6	13	-0.138807096013115	0.0494265088163854	-0.188233604829501	0.268984910306025	-0.75574215879525	0.379274949136249	0.493522579959731	0.299240074941032	-0.819574976452098	0.443107766793097	0.537685453440656	0.490269792127377	0.490269792127377	all_fixed	20	CT proportion within epithelium	All fixed pairs, threshold 20
exclude_predicted_doublets::all_fixed::threshold20	delta_ct_state_score	16	6	10	1.76825296330389	-0.788034252579381	2.55628721588327	0.600917602063096	1.26744714244285	3.84512728932369	0.00080194193023619	0.638053286160417	1.1877990215442	3.92477541022234	0.00129967560449113	0.0004995004995005	0.000999000999000999	all_fixed	20	Six-gene score within CT state	All fixed pairs, threshold 20
exclude_predicted_doublets::v31_only::threshold20	delta_ct_logit_epi	15	6	9	-0.138807096013115	0.0817992248723403	-0.220606320885455	0.275841660321678	-0.816525997991064	0.375313356220153	0.438221710070467	0.309535526934566	-0.889317171336585	0.448104529565674	0.488626475372976	0.433966033966034	NA	v31_only	20	CT proportion within epithelium	v3.1 only, threshold 20
exclude_predicted_doublets::v31_only::threshold20	delta_ct_state_score	13	6	7	1.76825296330389	-0.991319881912608	2.7595728452165	0.68002097132496	1.26285677877916	4.25628891165384	0.00188940248739978	0.730060440140291	1.15272065049775	4.36642503993525	0.00304747957701782	0.00116550116550117	NA	v31_only	20	Six-gene score within CT state	v3.1 only, threshold 20
exclude_predicted_doublets::author_both::threshold20	delta_ct_logit_epi	17	4	13	-0.104927989517946	0.0387587810426561	-0.143686770560602	0.362770642479234	-0.916914091615393	0.62954055049419	0.697621847899886	0.460229171709215	-1.12464202945356	0.837268488332357	0.759181181594009	0.689915966386555	NA	author_both	20	CT proportion within epithelium	Author-paired subset, threshold 20
exclude_predicted_doublets::author_both::threshold20	delta_ct_state_score	14	4	10	2.15378790342954	-0.632156414305491	2.78594431773503	0.722107160917616	1.21260797113315	4.35928066433691	0.00227656623850274	0.809029870558618	1.0232196561779	4.54866897929216	0.00486240587189087	0.002997002997003	NA	author_both	20	Six-gene score within CT state	Author-paired subset, threshold 20
exclude_predicted_doublets::all_fixed::threshold50	delta_ct_logit_epi	19	6	13	-0.138807096013115	0.0494265088163854	-0.188233604829501	0.268984910306025	-0.75574215879525	0.379274949136249	0.493522579959731	0.299240074941032	-0.819574976452098	0.443107766793097	0.537685453440656	0.490269792127377	NA	all_fixed	50	CT proportion within epithelium	All fixed pairs, threshold 50
exclude_predicted_doublets::all_fixed::threshold50	delta_ct_state_score	13	5	8	1.39697983792111	-0.675065646149577	2.07204548407068	0.694786806687955	0.542830033123038	3.60126093501833	0.0124686920152141	0.800128376630611	0.310974800938497	3.83311616720287	0.0251542979078246	0.0124320124320124	NA	all_fixed	50	Six-gene score within CT state	All fixed pairs, threshold 50
exclude_predicted_doublets::v31_only::threshold50	delta_ct_logit_epi	15	6	9	-0.138807096013115	0.0817992248723403	-0.220606320885455	0.275841660321678	-0.816525997991064	0.375313356220153	0.438221710070467	0.309535526934566	-0.889317171336585	0.448104529565674	0.488626475372976	0.433966033966034	NA	v31_only	50	CT proportion within epithelium	v3.1 only, threshold 50
exclude_predicted_doublets::v31_only::threshold50	delta_ct_state_score	10	5	5	1.39697983792111	-0.891884363358212	2.28886420127932	0.841192650760333	0.349070470122637	4.228657932436	0.0262091514604873	0.940481974636672	0.120108878682173	4.45761952387646	0.0409642130824551	0.0317460317460317	NA	v31_only	50	Six-gene score within CT state	v3.1 only, threshold 50
exclude_predicted_doublets::author_both::threshold50	delta_ct_logit_epi	17	4	13	-0.104927989517946	0.0387587810426561	-0.143686770560602	0.362770642479234	-0.916914091615393	0.62954055049419	0.697621847899886	0.460229171709215	-1.12464202945356	0.837268488332357	0.759181181594009	0.689915966386555	NA	author_both	50	CT proportion within epithelium	Author-paired subset, threshold 50
exclude_predicted_doublets::author_both::threshold50	delta_ct_state_score	11	3	8	1.96769783901493	-0.480218348307215	2.44791618732214	0.826085041122261	0.579181994466972	4.31665038017732	0.0158748776828599	1.089274042257	-0.0161928896196906	4.91202526426398	0.0512294577108087	0.0181818181818182	NA	author_both	50	Six-gene score within CT state	Author-paired subset, threshold 50
