Package	Version	LibPath	Built
abind	1.4-8	/usr/local/lib/R/site-library	4.3.3
admisc	0.40	/usr/local/lib/R/site-library	4.3.3
affy	1.80.0	/usr/local/lib/R/site-library	4.3.3
affyio	1.72.0	/usr/local/lib/R/site-library	4.3.3
ALL	1.44.0	/usr/local/lib/R/site-library	4.3.3
alluvial	0.1-2	/usr/local/lib/R/site-library	4.3.3
annotate	1.80.0	/usr/local/lib/R/site-library	4.3.3
AnnotationDbi	1.64.1	/usr/local/lib/R/site-library	4.3.3
AnnotationFilter	1.26.0	/usr/local/lib/R/site-library	4.3.3
AnnotationHub	3.10.1	/usr/local/lib/R/site-library	4.3.3
ape	5.8-1	/usr/local/lib/R/site-library	4.3.3
aplot	0.2.9	/usr/local/lib/R/site-library	4.3.3
argparse	2.3.1	/usr/local/lib/R/site-library	4.3.3
aricode	1.0.3	/usr/local/lib/R/site-library	4.3.3
arrangements	1.1.10	/usr/local/lib/R/site-library	4.3.3
AsioHeaders	1.30.2-1	/usr/local/lib/R/site-library	4.3.3
askpass	1.2.1	/usr/local/lib/R/site-library	4.3.3
assertthat	0.2.1	/usr/local/lib/R/site-library	4.3.3
AUCell	1.24.0	/usr/local/lib/R/site-library	4.3.3
babelgene	22.9	/usr/local/lib/R/site-library	4.3.3
backports	1.5.1	/usr/local/lib/R/site-library	4.3.3
base64	2.0.2	/usr/local/lib/R/site-library	4.3.3
base64enc	0.1-6	/usr/local/lib/R/site-library	4.3.3
basilisk	1.14.3	/usr/local/lib/R/site-library	4.3.3
basilisk.utils	1.14.1	/usr/local/lib/R/site-library	4.3.3
batchelor	1.18.1	/usr/local/lib/R/site-library	4.3.3
BayesSpace	1.12.0	/usr/local/lib/R/site-library	4.3.3
bayestestR	0.17.0	/usr/local/lib/R/site-library	4.3.3
BBmisc	1.13.1	/usr/local/lib/R/site-library	4.3.3
bcellViper	1.36.0	/usr/local/lib/R/site-library	4.3.3
bdsmatrix	1.3-7	/usr/local/lib/R/site-library	4.3.3
beachmat	2.18.1	/usr/local/lib/R/site-library	4.3.3
beanplot	1.3.1	/usr/local/lib/R/site-library	4.3.3
beeswarm	0.4.0	/usr/local/lib/R/site-library	4.3.3
beyondcell	2.2.2	/usr/local/lib/R/site-library	4.3.3
BH	1.90.0-1	/usr/local/lib/R/site-library	4.3.3
BiasedUrn	2.0.12	/usr/local/lib/R/site-library	4.3.3
biglm	0.9-3	/usr/local/lib/R/site-library	4.3.3
Biobase	2.62.0	/usr/local/lib/R/site-library	4.3.3
BiocBaseUtils	1.4.0	/usr/local/lib/R/site-library	4.3.3
BiocFileCache	2.10.2	/usr/local/lib/R/site-library	4.3.3
BiocGenerics	0.48.1	/usr/local/lib/R/site-library	4.3.3
BiocIO	1.12.0	/usr/local/lib/R/site-library	4.3.3
BiocManager	1.30.27	/usr/local/lib/R/site-library	4.3.3
BiocNeighbors	1.20.2	/usr/local/lib/R/site-library	4.3.3
BiocParallel	1.36.0	/usr/local/lib/R/site-library	4.3.3
BiocSingular	1.18.0	/usr/local/lib/R/site-library	4.3.3
BiocVersion	3.18.1	/usr/local/lib/R/site-library	4.3.3
biomaRt	2.58.2	/usr/local/lib/R/site-library	4.3.3
Biostrings	2.70.3	/usr/local/lib/R/site-library	4.3.3
biovizBase	1.50.0	/usr/local/lib/R/site-library	4.3.3
bit	4.6.0	/usr/local/lib/R/site-library	4.3.3
bit64	4.6.0-1	/usr/local/lib/R/site-library	4.3.3
bitops	1.0-9	/usr/local/lib/R/site-library	4.3.3
blob	1.3.0	/usr/local/lib/R/site-library	4.3.3
bluster	1.12.0	/usr/local/lib/R/site-library	4.3.3
BPCells	0.3.1	/usr/local/lib/R/site-library	4.3.3
brew	1.0-10	/usr/local/lib/R/site-library	4.3.3
brio	1.1.5	/usr/local/lib/R/site-library	4.3.3
broom	1.0.12	/usr/local/lib/R/site-library	4.3.3
BSgenome	1.70.2	/usr/local/lib/R/site-library	4.3.3
bslib	0.10.0	/usr/local/lib/R/site-library	4.3.3
bsseq	1.38.0	/usr/local/lib/R/site-library	4.3.3
bumphunter	1.44.0	/usr/local/lib/R/site-library	4.3.3
cachem	1.1.0	/usr/local/lib/R/site-library	4.3.3
Cairo	1.7-0	/usr/local/lib/R/site-library	4.3.3
