Package	Version	LibPath
abind	1.4-8	/usr/local/lib/R/site-library
admisc	0.40	/usr/local/lib/R/site-library
affy	1.80.0	/usr/local/lib/R/site-library
affyio	1.72.0	/usr/local/lib/R/site-library
ALL	1.44.0	/usr/local/lib/R/site-library
alluvial	0.1-2	/usr/local/lib/R/site-library
annotate	1.80.0	/usr/local/lib/R/site-library
AnnotationDbi	1.64.1	/usr/local/lib/R/site-library
AnnotationFilter	1.26.0	/usr/local/lib/R/site-library
AnnotationHub	3.10.1	/usr/local/lib/R/site-library
ape	5.8-1	/usr/local/lib/R/site-library
aplot	0.2.9	/usr/local/lib/R/site-library
argparse	2.3.1	/usr/local/lib/R/site-library
aricode	1.0.3	/usr/local/lib/R/site-library
arrangements	1.1.10	/usr/local/lib/R/site-library
AsioHeaders	1.30.2-1	/usr/local/lib/R/site-library
askpass	1.2.1	/usr/local/lib/R/site-library
assertthat	0.2.1	/usr/local/lib/R/site-library
AUCell	1.24.0	/usr/local/lib/R/site-library
babelgene	22.9	/usr/local/lib/R/site-library
backports	1.5.1	/usr/local/lib/R/site-library
base64	2.0.2	/usr/local/lib/R/site-library
base64enc	0.1-6	/usr/local/lib/R/site-library
basilisk	1.14.3	/usr/local/lib/R/site-library
basilisk.utils	1.14.1	/usr/local/lib/R/site-library
batchelor	1.18.1	/usr/local/lib/R/site-library
BayesSpace	1.12.0	/usr/local/lib/R/site-library
bayestestR	0.17.0	/usr/local/lib/R/site-library
BBmisc	1.13.1	/usr/local/lib/R/site-library
bcellViper	1.36.0	/usr/local/lib/R/site-library
bdsmatrix	1.3-7	/usr/local/lib/R/site-library
beachmat	2.18.1	/usr/local/lib/R/site-library
beanplot	1.3.1	/usr/local/lib/R/site-library
beeswarm	0.4.0	/usr/local/lib/R/site-library
beyondcell	2.2.2	/usr/local/lib/R/site-library
BH	1.90.0-1	/usr/local/lib/R/site-library
BiasedUrn	2.0.12	/usr/local/lib/R/site-library
biglm	0.9-3	/usr/local/lib/R/site-library
Biobase	2.62.0	/usr/local/lib/R/site-library
BiocBaseUtils	1.4.0	/usr/local/lib/R/site-library
BiocFileCache	2.10.2	/usr/local/lib/R/site-library
BiocGenerics	0.48.1	/usr/local/lib/R/site-library
BiocIO	1.12.0	/usr/local/lib/R/site-library
BiocManager	1.30.27	/usr/local/lib/R/site-library
BiocNeighbors	1.20.2	/usr/local/lib/R/site-library
BiocParallel	1.36.0	/usr/local/lib/R/site-library
BiocSingular	1.18.0	/usr/local/lib/R/site-library
BiocVersion	3.18.1	/usr/local/lib/R/site-library
biomaRt	2.58.2	/usr/local/lib/R/site-library
Biostrings	2.70.3	/usr/local/lib/R/site-library
biovizBase	1.50.0	/usr/local/lib/R/site-library
bit	4.6.0	/usr/local/lib/R/site-library
bit64	4.6.0-1	/usr/local/lib/R/site-library
bitops	1.0-9	/usr/local/lib/R/site-library
blob	1.3.0	/usr/local/lib/R/site-library
bluster	1.12.0	/usr/local/lib/R/site-library
BPCells	0.3.1	/usr/local/lib/R/site-library
brew	1.0-10	/usr/local/lib/R/site-library
brio	1.1.5	/usr/local/lib/R/site-library
broom	1.0.12	/usr/local/lib/R/site-library
BSgenome	1.70.2	/usr/local/lib/R/site-library
bslib	0.10.0	/usr/local/lib/R/site-library
bsseq	1.38.0	/usr/local/lib/R/site-library
bumphunter	1.44.0	/usr/local/lib/R/site-library
cachem	1.1.0	/usr/local/lib/R/site-library
Cairo	1.7-0	/usr/local/lib/R/site-library
callr	3.7.6	/usr/local/lib/R/site-library
car	3.1-5	/usr/local/lib/R/site-library
carData	3.0-6	/usr/local/lib/R/site-library
caret	7.0-1	/usr/local/lib/R/site-library
caTools	1.18.3	/usr/local/lib/R/site-library
CellChat	2.2.0.9001	/usr/local/lib/R/site-library
celldex	1.12.0	/usr/local/lib/R/site-library
cellranger	1.1.0	/usr/local/lib/R/site-library
ChAMP	2.32.0	/usr/local/lib/R/site-library
ChAMPdata	2.34.0	/usr/local/lib/R/site-library
checkmate	2.3.4	/usr/local/lib/R/site-library
chromote	0.5.1	/usr/local/lib/R/site-library
chron	2.3-62	/usr/local/lib/R/site-library
CIMLR	1.0.0	/usr/local/lib/R/site-library
circlize	0.4.18	/usr/local/lib/R/site-library
ClassDiscovery	3.4.5	/usr/local/lib/R/site-library
classInt	0.4-11	/usr/local/lib/R/site-library
cli	3.6.6	/usr/local/lib/R/site-library
clipr	0.8.0	/usr/local/lib/R/site-library
clock	0.7.4	/usr/local/lib/R/site-library
clue	0.3-68	/usr/local/lib/R/site-library
