Package	Version	LibPath
AnnotationDbi	1.64.1	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
askpass	1.2.1	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
Biobase	2.62.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
BiocGenerics	0.48.1	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
BiocManager	1.30.27	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
BiocVersion	3.18.1	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
Biostrings	2.70.3	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
bit	4.6.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
bit64	4.6.0-1	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
bitops	1.0-9	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
blob	1.3.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
cachem	1.1.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
cli	3.6.6	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
cpp11	0.5.4	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
crayon	1.5.3	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
curl	7.0.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
data.table	1.18.2.1	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
DBI	1.3.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
farver	2.1.2	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
fastmap	1.2.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
GenomeInfoDb	1.38.8	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
GenomeInfoDbData	1.2.11	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
ggplot2	4.0.2	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
glue	1.8.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
GO.db	3.18.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
gtable	0.3.6	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
httr	1.4.8	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
IRanges	2.36.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
isoband	0.3.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
jsonlite	2.0.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
KEGGREST	1.42.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
labeling	0.4.3	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
lifecycle	1.0.5	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
limma	3.58.1	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
matrixStats	1.5.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
memoise	2.0.1	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
mime	0.13	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
openssl	2.3.5	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
org.Hs.eg.db	3.18.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
pkgconfig	2.0.3	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
png	0.1-9	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
R6	2.6.1	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
RColorBrewer	1.1-3	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
RCurl	1.98-1.18	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
renv	1.2.1	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
rlang	1.2.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
RSQLite	2.4.6	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
S4Vectors	0.40.2	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
S7	0.2.1	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
scales	1.4.0	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
statmod	1.5.1	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
sys	3.4.3	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
vctrs	0.7.3	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
viridisLite	0.4.3	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
withr	3.0.2	/root/projects/UC_Treatment_Recovery/renv/library/R-4.3/x86_64-pc-linux-gnu
