omitted_subject	estimate	p
P1	0.360296222322864	0.440147025777319
P2	0.459518328950992	0.31449090215183
P3	0.388727442897098	0.380774635696112
P4	0.441433516690815	0.320096483258826
P6	0.340919820564284	0.451550784649205
P7	0.502379330295582	0.244749944671277
P8	0.422844783671894	0.331494285174172
P9	0.40089147411923	0.361585631148126
P10	0.348608544036812	0.424330002064707
P11	0.604177993456099	0.175131743862671
P14	0.434753769677787	0.326023527546883
P15	0.358010305597237	0.422542406579101
P16	0.423553847164579	0.339003153481803
P17	0.361484242491869	0.422868938368136
P18	0.268742707061346	0.55718182920911
P19	0.428528073862749	0.356416250411676
P24	0.35746640979131	0.420504667097159
P25	0.299486577835784	0.487100748981446
P27	0.373832931968471	0.399209844461462
P28	0.222512439929155	0.607004765378188
P29	0.735032426669982	0.0975850536585786
P32	0.457772765988821	0.321719252242
P33	0.420475959817387	0.32311155206815
P34	0.325711659862611	0.465897747754654
P36	0.411350990875594	0.346169321023889
P38	0.375241041125078	0.396118943621807
P40	0.400447982283585	0.367972395545411
P41	0.48775774436081	0.272741749628092
P44	0.293725061152521	0.496242785232646
P45	0.483751973070712	0.315490764134021
P46	0.319093579182233	0.470484850393453
P48	0.414074011693905	0.361153177411885
