final_analysis	n	remission	nonremission	mean_remission	mean_nonremission	estimate	lower	upper	p_OLS	p_HC3	p_exact_permutation	BH_fixed_state_family_n15	raw_estimate	raw_lower	raw_upper	raw_p_exact	raw_BH_n15	estimate_change_after_decontx
Non ileal BEST4 OTOP2	9	3	6	0.0530055298724349	0.0548586884615278	-0.00185315858909288	-2.2707151134461	2.26700879626792	0.998512875165752	0.998124968963288	1	1	0.0551438561281817	-2.13507213268606	2.24535984494242	0.880952380952381	1	-0.0569970147172746
Non ileal CT colonocyte	16	6	10	1.92480641335373	-0.929363285220441	2.85416969857417	1.25894904541258	4.44939035173576	0.00181182152285798	0.00279017564634067	0.00112387612387612	0.0168581418581419	2.55628721588327	1.26744714244286	3.84512728932369	0.0004995004995005	0.00749250749250749	0.297882482690903
Non ileal EEC DDCpos CHGApos	2	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non ileal EEC GCGpos PYYpos	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non ileal EEC NEUROG3pos	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non ileal enterocyte DUOXA2pos	13	6	7	-0.417719857072112	0.588548709240265	-1.00626856631238	-1.98646744708174	-0.0260696855430169	0.045129799223381	0.0721510684133439	0.0466200466200466	0.13986013986014	-0.923885601394466	-1.99478262730901	0.147011424520073	0.0856643356643357	0.240904053929264	-0.0823829649179112
Non ileal enterocyte DUOXA2pos CXCL11pos	10	4	6	0.343543652695532	-0.298498190632379	0.642041843327911	-0.457142762698281	1.7412264493541	0.214903937316721	0.183549291730066	0.238095238095238	0.446428571428571	-0.0464018898528653	-1.26100284406397	1.16819906435824	0.928571428571429	1	0.688443733180776
Non ileal enterocyte PLCG2hi	15	5	10	0.265598588217068	-0.638902290588691	0.904500878805759	-0.567250310437406	2.37625206804892	0.207117760751143	0.369958163956088	0.21012321012321	0.446428571428571	1.02420135135887	-0.249008220972134	2.29741092368987	0.105228105228105	0.240904053929264	-0.119700472553111
Non ileal goblet	15	6	9	0.505913022107012	-0.195288339444103	0.701201361551115	0.051914848715648	1.35048787438658	0.0363522232478379	0.0547804917089887	0.0345654345654346	0.13986013986014	0.746840468168743	0.0512125966781505	1.44246833965933	0.0397602397602398	0.149100899100899	-0.0456391066176278
Non ileal LGR5pos stem	16	6	10	0.346549479942102	-0.232466884578827	0.579016364520929	0.044584442944153	1.11344828609771	0.0357060471805802	0.0341190308150659	0.0377122877122877	0.13986013986014	1.03768582493391	0.385441481979005	1.68993016788881	0.00599400599400599	0.02997002997003	-0.458669460412981
Non ileal M like	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non ileal paneth	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non ileal TA	17	6	11	0.200266749167002	-0.375754264258329	0.576021013425332	0.0275981710616632	1.124443855789	0.0407618867914655	0.0402856391490571	0.041289592760181	0.13986013986014	0.890493513130819	0.321336319777444	1.45965070648419	0.00573691014867485	0.02997002997003	-0.314472499705488
Non ileal tuft	6	2	4	-0.82328740941026	-0.398867285171547	-0.424420124238713	-3.01983968846256	2.17099943998514	0.673356694408309	0.675100886780463	0.666666666666667	1	-0.795205595272407	-3.42184073278186	1.83142954223705	0.466666666666667	0.875	0.370785471033694
Non ileal undiff enterocyte	18	6	12	0.707518931853031	-0.211597149536755	0.919116081389786	-0.297272224136344	2.13550438691592	0.12875092801366	0.0510517915804682	0.132406808877397	0.331017022193493	0.977050223952455	-0.251190927184667	2.20529137508958	0.112421891833657	0.240904053929264	-0.0579341425626689
