scope	model	outcome	formula	n	remission	nonremission	parameters	residual_df	estimate	se_HC3	lower_HC3	upper_HC3	p_HC3	r_squared
all_fixed	unadjusted_change_HC3	delta_ct_state_score	delta_ct_state_score ~ remission_binary	16	6	10	2	14.0	2.556287215883271	0.6380532861604171	1.1877990215441991	3.9247754102223427	0.0012996756044911391	0.5638124575012218
all_fixed	baseline_adjusted_ANCOVA	post_ct_state_score	post_ct_state_score ~ remission_binary + pre_ct_state_score	16	6	10	3	13.0	1.4423284005428252	0.6116364828225179	0.12096811390391493	2.7636886871817357	0.03469503443982097	0.28434069020317654
all_fixed	baseline_candidate_inflammation_change_and_baseline_inflammation	delta_ct_state_score	delta_ct_state_score ~ remission_binary + pre_ct_state_score + delta_inflammation_score + pre_inflammation_score	16	6	10	5	11.0	1.0248221267923503	1.378117052168224	-2.0083930538991455	4.058037307483846	0.47267998345312356	0.716615554254338
all_fixed	baseline_and_inflammation_change	delta_ct_state_score	delta_ct_state_score ~ remission_binary + pre_ct_state_score + delta_inflammation_score	16	6	10	4	12.0	1.3397969047936233	0.9905902061828334	-0.8185137453802391	3.498107554967486	0.20114495503987292	0.7082712699321088
v31_only	unadjusted_change_HC3	delta_ct_state_score	delta_ct_state_score ~ remission_binary	13	6	7	2	11.0	2.759572845216499	0.7300604401402909	1.1527206504977485	4.366425039935249	0.0030474795770178234	0.59953303835395
v31_only	baseline_adjusted_ANCOVA	post_ct_state_score	post_ct_state_score ~ remission_binary + pre_ct_state_score	13	6	7	3	10.0	1.5765824180287222	1.0508723936492195	-0.764907190740918	3.918072026798362	0.16444092109883818	0.2552707134254901
v31_only	baseline_candidate_inflammation_change_and_baseline_inflammation	delta_ct_state_score	delta_ct_state_score ~ remission_binary + pre_ct_state_score + delta_inflammation_score + pre_inflammation_score	13	6	7	5	8.0	1.1961240828488513	2.8695828165560564	-5.421145758440232	7.813393924137935	0.6877636360143119	0.7161119087944842
v31_only	baseline_and_inflammation_change	delta_ct_state_score	delta_ct_state_score ~ remission_binary + pre_ct_state_score + delta_inflammation_score	13	6	7	4	9.0	1.5282580327072615	1.39712676525147	-1.6322622866434378	4.688778352057961	0.30242808617437994	0.7126030658699034
author_both	unadjusted_change_HC3	delta_ct_state_score	delta_ct_state_score ~ remission_binary	14	4	10	2	12.0	2.7859443177350314	0.809029870558617	1.0232196561778997	4.548668979292163	0.004862405871890808	0.5536503125240263
author_both	baseline_adjusted_ANCOVA	post_ct_state_score	post_ct_state_score ~ remission_binary + pre_ct_state_score	14	4	10	3	11.0	1.1514288225755736	1.1229502118663215	-1.3201679292639619	3.623025574415109	0.32721355280975123	0.12176028923494664
author_both	baseline_candidate_inflammation_change_and_baseline_inflammation	delta_ct_state_score	delta_ct_state_score ~ remission_binary + pre_ct_state_score + delta_inflammation_score + pre_inflammation_score	14	4	10	5	9.0	-0.39515990048736294	1.2218849138766787	-3.1592556105285596	2.3689358095538338	0.7537789008410986	0.7882139008507396
author_both	baseline_and_inflammation_change	delta_ct_state_score	delta_ct_state_score ~ remission_binary + pre_ct_state_score + delta_inflammation_score	14	4	10	4	10.0	-0.2724034298057365	1.01147678801419	-2.526114159062438	1.981307299450965	0.793164358664982	0.7850693897940254
