metric	n	remission	nonremission	mean_remission	mean_nonremission	estimate	lower	upper	p_OLS	p_HC3	p_exact_permutation	BH_negative_genes_n2
delta_AQP8_logCPM	16	6	10	4.288734918099627	-1.5017275164750887	5.7904624345747155	3.074196670127306	8.506728199022126	0.00043489002569345724	0.00392887051677586	0.00024975024975024975	
delta_HMGCS2_logCPM	16	6	10	4.765944621933476	-1.9477502660265191	6.713694887959994	3.80130163757044	9.626088138349548	0.0002157657482430679	0.0016766628003270436	0.00012487512487512488	
delta_GUCA2A_logCPM	16	6	10	1.6009589512062938	-0.6459403571878088	2.2468993083941027	0.11034823163624763	4.383450385151958	0.04062558698019888	0.03328737535800388	0.03309190809190809	
delta_CA2_logCPM	16	6	10	0.5628284754955639	-0.413372995926469	0.9762014714220328	-0.13934658973498304	2.0917495325790485	0.08153331405666135	0.06389860566229419	0.0822927072927073	
delta_SLC26A3_logCPM	16	6	10	0.06199593265846043	0.008692960771848201	0.05330297188661223	-1.3363697541877604	1.442975697960985	0.9355994133071037	0.9338287662303449	0.9373126873126874	
delta_MS4A12_logCPM	16	6	10	-0.6709451195700763	-0.22810734063225008	-0.44283777893782617	-1.7232662875033802	0.8375907296277278	0.4704842041856839	0.49793282022962443	0.4699050949050949	
delta_PTPRC_logCPM	16	6	10	-1.1077575603862653	0.5890355595912854	-1.6967931199775506	-3.919769347707922	0.526183107752821	0.12388013596208358	0.14082723462120092	0.12387612387612387	0.24775224775224775
delta_COL1A1_logCPM	16	6	10	-0.5587619672203702	0.2104847366153933	-0.7692467038357635	-2.2564908727598967	0.7179974650883694	0.2859731845099409	0.3468115265084364	0.28471528471528473	0.28471528471528473
delta_Candidate6_score	16	6	10	1.7682529633038904	-0.7880342525793814	2.5562872158832715	1.2674471424428544	3.8451272893236883	0.0008019419302361905	0.0012996756044911346	0.0004995004995004995	
delta_NegativeControl2_score	16	6	10	-0.8332597638033178	0.3997601481033393	-1.2330199119066572	-2.5911990345244496	0.12515921071113523	0.07186317802691529	0.04459907983539702	0.07280219780219781	
