branch	metric	n	remission	nonremission	mean_remission	mean_nonremission	estimate	se	lower	upper	p_OLS	se_HC3	lower_HC3	upper_HC3	p_HC3	p_exact_permutation	BH_evaluable_states_n10	BH_fixed_state_family_n15
Non ileal BEST4 OTOP2	delta_state_score	9	3	6	0.100646359781337	0.0455025036531554	0.0551438561281817	0.926242715872906	-2.13507213268606	2.24535984494242	0.954189996193213	0.749809371736094	-1.71787356835053	1.8281612806069	0.943430776805421	0.880952380952381	0.928571428571429	1
Non ileal CT colonocyte	delta_state_score	16	6	10	1.76825296330389	-0.788034252579381	2.55628721588327	0.600917602063096	1.26744714244286	3.84512728932369	0.00080194193023619	0.638053286160417	1.1877990215442	3.92477541022234	0.00129967560449113	0.0004995004995005	0.004995004995005	0.00749250749250749
Non ileal EEC DDCpos CHGApos	delta_state_score	2	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non ileal EEC GCGpos PYYpos	delta_state_score	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non ileal EEC NEUROG3pos	delta_state_score	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non ileal enterocyte DUOXA2pos	delta_state_score	13	6	7	-0.38086792329498	0.543017678099486	-0.923885601394466	0.486553496739593	-1.99478262730901	0.147011424520073	0.0841158809196149	0.546361984334896	-2.12642022095379	0.27864901816486	0.118944050564717	0.0856643356643357	0.160602702619509	0.240904053929264
Non ileal enterocyte DUOXA2pos CXCL11pos	delta_state_score	10	4	6	-0.044271996349696	0.00212989350316935	-0.0464018898528653	0.52671239208492	-1.26100284406397	1.16819906435824	0.931964784829844	0.627743923416132	-1.49398197309975	1.40117819339402	0.942890078562767	0.928571428571429	0.928571428571429	1
Non ileal enterocyte PLCG2hi	delta_state_score	15	5	10	0.356160008359524	-0.668041342999345	1.02420135135887	0.589348289479283	-0.249008220972134	2.29741092368987	0.105850415461395	0.790578529777653	-0.683739724845209	2.73214242756295	0.217677123604163	0.105228105228105	0.160602702619509	0.240904053929264
Non ileal goblet	delta_state_score	15	6	9	0.548161767779868	-0.198678700388875	0.746840468168743	0.321994984240123	0.0512125966781505	1.44246833965933	0.0372896470767273	0.321680582271488	0.0518918208367199	1.44178911550077	0.0371328269515459	0.0397602397602398	0.0994005994005994	0.149100899100899
Non ileal LGR5pos stem	delta_state_score	16	6	10	0.635568415103404	-0.402117409830505	1.03768582493391	0.304106859031335	0.385441481979005	1.68993016788881	0.00420914747850919	0.323704460890444	0.343408806396475	1.73196284347134	0.0063486962190268	0.00599400599400599	0.01998001998002	0.02997002997003
Non ileal M like	delta_state_score	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non ileal paneth	delta_state_score	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Non ileal TA	delta_state_score	17	6	11	0.497643011209839	-0.39285050192098	0.890493513130819	0.267028227123199	0.321336319777444	1.45965070648419	0.00452395463514827	0.260317321930949	0.335640275599761	1.44534675066188	0.00379241304654972	0.00573691014867485	0.01998001998002	0.02997002997003
Non ileal tuft	delta_state_score	6	2	4	-1.11537088777	-0.320165292497592	-0.795205595272407	0.946042524879069	-3.42184073278186	1.83142954223705	0.447904047848795	1.11031519721202	-3.87793478979845	2.28752359925363	0.51345736059023	0.466666666666667	0.583333333333333	0.875
Non ileal undiff enterocyte	delta_state_score	18	6	12	0.729541173685033	-0.247509050267421	0.977050223952455	0.579384914782899	-0.251190927184667	2.20529137508958	0.111124470422347	0.442301567935781	0.039412786231523	1.91468766167339	0.0421034828116783	0.112421891833657	0.160602702619509	0.240904053929264
