visit	program	model	method	evaluable	n	df	estimate	se	lower	upper	p	max_leverage	residual_sigma	reason
W6	MATURE_COLONOCYTE6_EXPLORATORY	adjusted_support	OLS	TRUE	27	23	0.521262896275035	0.462475891621288	-0.435441376562678	1.47796716911275	0.271316504154166	0.424223505585187	0.841481220134764	""
W6	MATURE_COLONOCYTE6_EXPLORATORY	adjusted_support	HC3	TRUE	27	23	0.521262896275035	0.296425553195255	-0.0919400802650055	1.13446587281508	0.091964102257792	0.424223505585187	0.841481220134764	""
W6	MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_baseline	OLS	TRUE	27	24	0.283859020843594	0.39099893545603	-0.523123119642195	1.09084116132938	0.474869392586066	0.238558418587961	0.840264508235726	""
W6	MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_baseline	HC3	TRUE	27	24	0.283859020843594	0.304373908419757	-0.344337850941044	0.912055892628231	0.360314615411633	0.238558418587961	0.840264508235726	""
W6	MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_inflammation	OLS	TRUE	27	24	1.02025732783022	0.530257464609775	-0.0741402906704141	2.11465494633086	0.0662818081975703	0.253141494243575	1.01552427074235	""
W6	MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_inflammation	HC3	TRUE	27	24	1.02025732783022	0.387206054848646	0.221103308174441	1.81941134748601	0.0145094721255658	0.253141494243575	1.01552427074235	""
W12	MATURE_COLONOCYTE6_EXPLORATORY	adjusted_support	OLS	TRUE	13	9	0.852752603084888	0.547208350145588	-0.385118685739942	2.09062389190972	0.153574316907418	0.547421544609917	0.806567895798285	""
W12	MATURE_COLONOCYTE6_EXPLORATORY	adjusted_support	HC3	TRUE	13	9	0.852752603084888	0.577414283416305	-0.4534492540473	2.15895446021708	0.173830034970828	0.547421544609917	0.806567895798285	""
W12	MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_baseline	OLS	TRUE	13	10	0.824784988422315	0.616184823416043	-0.548160356635273	2.1977303334799	0.210357570103833	0.508197813511673	0.908558789709392	""
W12	MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_baseline	HC3	TRUE	13	10	0.824784988422315	0.790927286028789	-0.93751082667449	2.58708080351912	0.321591560915285	0.508197813511673	0.908558789709392	""
W12	MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_inflammation	OLS	TRUE	13	10	1.72202027570763	1.2143467477543	-0.983712892746894	4.42775344416216	0.186573582177598	0.435571153626629	1.84446907341836	""
W12	MATURE_COLONOCYTE6_EXPLORATORY	parallel_no_inflammation	HC3	TRUE	13	10	1.72202027570763	1.18556764845628	-0.919589063475819	4.36362961489108	0.177011375536189	0.435571153626629	1.84446907341836	""
