context	treatment_path	outcome	program	n	baseline_mean	post_mean	delta_mean
GSE73661_IFX_W4W6	IFX	No	CANDIDATE6	15	9.014739394388894	9.330483033888886	0.31574363949999174
GSE73661_IFX_W4W6	IFX	No	COMMON194_INFLAMMATION	15	8.041037524638432	7.8112137696371144	-0.2298237550013173
GSE73661_IFX_W4W6	IFX	Yes	CANDIDATE6	8	9.527200246833328	11.060556303645837	1.53335605681251
GSE73661_IFX_W4W6	IFX	Yes	COMMON194_INFLAMMATION	8	7.75989603394448	7.306119817884022	-0.45377621606045837
GSE73661_VDZ_W12	vdz4w	No	CANDIDATE6	10	9.186411828466671	8.794476757249992	-0.39193507121667714
GSE73661_VDZ_W12	vdz4w	No	COMMON194_INFLAMMATION	10	7.935834158341581	7.877795979954209	-0.0580381783873718
GSE73661_VDZ_W12	vdz4w	Yes	CANDIDATE6	3	9.120096621444445	10.477861976388878	1.3577653549444333
GSE73661_VDZ_W12	vdz4w	Yes	COMMON194_INFLAMMATION	3	7.653212034322164	7.455510801939293	-0.19770123238287005
GSE73661_VDZ_W6	vdz_plac	Yes	CANDIDATE6	3	9.747144768666681	10.482190559166677	0.7350457904999962
GSE73661_VDZ_W6	vdz_plac	Yes	COMMON194_INFLAMMATION	3	7.595807644199314	7.399027283522623	-0.19678036067669039
GSE73661_VDZ_W6	vdz_vdz4w	No	CANDIDATE6	17	8.287554707382355	8.468621629529409	0.1810669221470548
GSE73661_VDZ_W6	vdz_vdz4w	No	COMMON194_INFLAMMATION	17	7.916284315488731	7.818734254178643	-0.09755006131008874
GSE73661_VDZ_W6	vdz_vdz4w	Yes	CANDIDATE6	3	9.6109932188889	10.405886322055567	0.794893103166667
GSE73661_VDZ_W6	vdz_vdz4w	Yes	COMMON194_INFLAMMATION	3	7.5352464985927865	7.297805211034366	-0.2374412875584199
GSE73661_VDZ_W6	vdz_vdz8w	No	CANDIDATE6	4	8.738464260625001	9.589158630166658	0.8506943695416571
GSE73661_VDZ_W6	vdz_vdz8w	No	COMMON194_INFLAMMATION	4	7.752288980407003	7.514081655411725	-0.23820732499527764
GSE92415_W6	Placebo	No	CANDIDATE6	15	9.187492222222224	9.617848888888886	0.43035666666666483
GSE92415_W6	Placebo	No	COMMON194_INFLAMMATION	15	7.222336037555229	7.143349645475372	-0.07898639207985543
GSE92415_W6	Placebo	Yes	CANDIDATE6	8	9.174406249999992	9.95201875	0.7776125000000086
GSE92415_W6	Placebo	Yes	COMMON194_INFLAMMATION	8	7.1826486169919015	6.995327304553265	-0.18732131243863626
GSE92415_W6	golimumab	No	CANDIDATE6	18	9.074149074074072	8.99321851851852	-0.08093055555555335
GSE92415_W6	golimumab	No	COMMON194_INFLAMMATION	18	7.307589450512737	7.263461556141929	-0.04412789437080722
GSE92415_W6	golimumab	Yes	CANDIDATE6	24	9.64598819444445	10.422601736111114	0.7766135416666634
GSE92415_W6	golimumab	Yes	COMMON194_INFLAMMATION	24	7.114169513019555	6.9151036130543275	-0.19906589996522717
