check	program	max_error
HC3_ANCOVA	CT_MARKERS_EXCLUDING_CANDIDATE6	3.10862446895044e-14
HC3_ANCOVA	GOBP_INTESTINAL_ABSORPTION	6.66133814775094e-15
HC3_ANCOVA	GOBP_BRUSH_BORDER_ASSEMBLY	6.88338275267597e-15
HC3_ANCOVA	HALLMARK_E2F_TARGETS	3.33066907387547e-15
HC3_ANCOVA	COMMON194_INFLAMMATION	9.99200722162641e-16
HC3_ANCOVA	CANDIDATE6	5.77315972805081e-15
Welch_gap	GSE92415_W6 CANDIDATE6 No	3.5527136788005e-15
Welch_gap	GSE92415_W6 CANDIDATE6 Yes	1.77635683940025e-15
Welch_gap	GSE92415_W6 COMMON194_INFLAMMATION No	8.88178419700125e-16
Welch_gap	GSE92415_W6 COMMON194_INFLAMMATION Yes	2.32934060494933e-21
Welch_gap	GSE73661_IFX_W4W6 CANDIDATE6 No	1.77635683940025e-15
Welch_gap	GSE73661_IFX_W4W6 CANDIDATE6 Yes	2.22044604925031e-16
Welch_gap	GSE73661_IFX_W4W6 COMMON194_INFLAMMATION No	8.88178419700125e-16
Welch_gap	GSE73661_IFX_W4W6 COMMON194_INFLAMMATION Yes	1.58900670399476e-15
Welch_gap	GSE73661_VDZ_W6 CANDIDATE6 No	1.77635683940025e-15
Welch_gap	GSE73661_VDZ_W6 CANDIDATE6 Yes	7.58941520739853e-19
Welch_gap	GSE73661_VDZ_W6 COMMON194_INFLAMMATION No	9.43689570931383e-16
Welch_gap	GSE73661_VDZ_W6 COMMON194_INFLAMMATION Yes	1.23512311489549e-15
Welch_gap	GSE73661_VDZ_W12 CANDIDATE6 No	6.66133814775094e-16
Welch_gap	GSE73661_VDZ_W12 CANDIDATE6 Yes	1.11022302462516e-15
Welch_gap	GSE73661_VDZ_W12 COMMON194_INFLAMMATION No	2.22044604925031e-16
Welch_gap	GSE73661_VDZ_W12 COMMON194_INFLAMMATION Yes	8.88178419700125e-16
count_to_patient_score	CT_MARKERS_EXCLUDING_CANDIDATE6	3.5527136788005e-15
count_to_patient_score	GOBP_INTESTINAL_ABSORPTION	1.33226762955019e-15
count_to_patient_score	GOBP_BRUSH_BORDER_ASSEMBLY	1.77635683940025e-15
count_to_patient_score	HALLMARK_E2F_TARGETS	2.66453525910038e-15
count_to_patient_score	COMMON194_INFLAMMATION	3.99680288865056e-15
count_to_patient_score	CANDIDATE6	1.77635683940025e-15
