series	gsm	program	score	control_id	title
GSE92415	GSM2429455	COMMON194_INFLAMMATION	6.58034502945508	GSM2429455	Colon-NHC-UC_E1
GSE92415	GSM2429456	COMMON194_INFLAMMATION	6.78304386475209	GSM2429456	Colon-NHC-UC_G4
GSE92415	GSM2429457	COMMON194_INFLAMMATION	6.7091866580756	GSM2429457	Colon-NHC-UC_A2
GSE92415	GSM2429458	COMMON194_INFLAMMATION	6.60740322042219	GSM2429458	Colon-NHC-UC_A4
GSE92415	GSM2429459	COMMON194_INFLAMMATION	6.42686204712813	GSM2429459	Colon-NHC-UC_D1
GSE92415	GSM2429460	COMMON194_INFLAMMATION	6.47881639175258	GSM2429460	Colon-NHC-UC_H1
GSE92415	GSM2429461	COMMON194_INFLAMMATION	6.50057398748159	GSM2429461	Colon-NHC-UC_B2
GSE92415	GSM2429462	COMMON194_INFLAMMATION	6.47816194035346	GSM2429462	Colon-NHC-UC_G1
GSE92415	GSM2429463	COMMON194_INFLAMMATION	6.46108283382425	GSM2429463	Colon-NHC-UC_F2
GSE92415	GSM2429464	COMMON194_INFLAMMATION	6.50562129970545	GSM2429464	Colon-NHC-UC_D2
GSE92415	GSM2429465	COMMON194_INFLAMMATION	6.87127253804615	GSM2429465	Colon-NHC-UC_D4
GSE92415	GSM2429466	COMMON194_INFLAMMATION	6.45566407584683	GSM2429466	Colon-NHC-UC_B1
GSE92415	GSM2429467	COMMON194_INFLAMMATION	6.74550012272951	GSM2429467	Colon-NHC-UC_H4
GSE92415	GSM2429468	COMMON194_INFLAMMATION	6.64582531664212	GSM2429468	Colon-NHC-UC_C1
GSE92415	GSM2429469	COMMON194_INFLAMMATION	6.68924823269514	GSM2429469	Colon-NHC-UC_F1
GSE92415	GSM2429470	COMMON194_INFLAMMATION	6.72169735517919	GSM2429470	Colon-NHC-UC_B4
GSE92415	GSM2429471	COMMON194_INFLAMMATION	6.53126003681885	GSM2429471	Colon-NHC-UC_C4
GSE92415	GSM2429472	COMMON194_INFLAMMATION	6.45006100024546	GSM2429472	Colon-NHC-UC_A1
GSE92415	GSM2429473	COMMON194_INFLAMMATION	6.74023492268041	GSM2429473	Colon-NHC-UC_F4
GSE92415	GSM2429474	COMMON194_INFLAMMATION	6.56952727417771	GSM2429474	Colon-NHC-UC_C2
GSE92415	GSM2429475	COMMON194_INFLAMMATION	6.58077696735395	GSM2429475	Colon-NHC-UC_E4
GSE92415	GSM2429455	CANDIDATE6	12.046725	GSM2429455	Colon-NHC-UC_E1
GSE92415	GSM2429456	CANDIDATE6	11.821925	GSM2429456	Colon-NHC-UC_G4
GSE92415	GSM2429457	CANDIDATE6	11.6481083333333	GSM2429457	Colon-NHC-UC_A2
GSE92415	GSM2429458	CANDIDATE6	11.9508666666667	GSM2429458	Colon-NHC-UC_A4
GSE92415	GSM2429459	CANDIDATE6	11.7690583333333	GSM2429459	Colon-NHC-UC_D1
GSE92415	GSM2429460	CANDIDATE6	12.0353833333333	GSM2429460	Colon-NHC-UC_H1
GSE92415	GSM2429461	CANDIDATE6	11.9793083333333	GSM2429461	Colon-NHC-UC_B2
GSE92415	GSM2429462	CANDIDATE6	11.9864166666667	GSM2429462	Colon-NHC-UC_G1
GSE92415	GSM2429463	CANDIDATE6	11.3095916666667	GSM2429463	Colon-NHC-UC_F2
