context	program	outcome	scope	n_patients	n_controls	estimate	se	lower	upper	p	df	BH_n16
GSE92415_W6	CANDIDATE6	No	main	33	21	-2.4785415223665215	0.21278693041019373	-2.908188028347973	-2.04889501638507	1.2605590152309239e-14	41.27016993960669	2.0168944243694782e-13
GSE92415_W6	CANDIDATE6	Yes	main	32	21	-1.4507269469246005	0.19030057930066913	-1.8346885644759394	-1.0667653293732615	1.8077898319878861e-09	42.299335580479095	7.2311593279515445e-09
GSE92415_W6	COMMON194_INFLAMMATION	No	main	33	21	0.6120954657133071	0.059406283585619106	0.49257764451753844	0.7316132869090758	1.244991251373852e-13	46.88418064362073	9.959930010990817e-13
GSE92415_W6	COMMON194_INFLAMMATION	Yes	main	32	21	0.3383897685306936	0.05847918755301233	0.2206767806079119	0.45610275645347526	6.046508811892414e-07	45.992924613420435	1.3820591570039802e-06
GSE73661_IFX_W4W6	CANDIDATE6	No	main	15	11	-2.8702614453535418	0.2861953553194457	-3.4717474569428344	-2.268775433764249	8.958765752670859e-09	17.911970937172885	2.389004200712229e-08
GSE73661_IFX_W4W6	CANDIDATE6	No	omit_control7	15	10	-2.8397773552777856	0.2883131599876083	-3.444929971152895	-2.234624739402676	9.934164133741257e-09	18.240030898177512	5.8553501193760586e-08
GSE73661_IFX_W4W6	CANDIDATE6	Yes	main	8	11	-1.14018817559659	0.1633912289230043	-1.4889411038760378	-0.791435247317142	4.847116691152657e-06	14.760521405798697	8.617096339826945e-06
GSE73661_IFX_W4W6	CANDIDATE6	Yes	omit_control7	8	10	-1.1097040855208338	0.16707300950358817	-1.4661782829995902	-0.7532298880420774	8.32647573056742e-06	14.824984132404298	2.6644722337815746e-05
GSE73661_IFX_W4W6	COMMON194_INFLAMMATION	No	main	15	11	0.6255973353601316	0.08326110817160352	0.4498500972145467	0.8013445735057165	8.810960666122334e-07	16.896938469745145	1.762192133224467e-06
GSE73661_IFX_W4W6	COMMON194_INFLAMMATION	No	omit_control7	15	10	0.6113993190742288	0.08267704243406464	0.4365428983376882	0.7862557398107695	1.2669681235506085e-06	16.476537181546618	5.067872494202434e-06
GSE73661_IFX_W4W6	COMMON194_INFLAMMATION	Yes	main	8	11	0.12050338360703794	0.055508430060745635	-0.0018591170013855518	0.24286588421546143	0.05299662124781156	10.862268624668662	0.06056756714035606
GSE73661_IFX_W4W6	COMMON194_INFLAMMATION	Yes	omit_control7	8	10	0.10630536732113516	0.054628445149842504	-0.01495295937216426	0.22756369401443458	0.07946929150994059	10.28873897573396	0.12414158017859069
GSE73661_VDZ_W6	CANDIDATE6	No	main	21	11	-3.5186872305440193	0.2951013392776067	-4.1265063678792995	-2.9108680932087387	8.405054944222113e-12	24.96229534504548	4.482695970251793e-11
GSE73661_VDZ_W6	CANDIDATE6	No	omit_control7	21	10	-3.488203140468263	0.29715567849033875	-4.099828294973712	-2.8765779859628147	9.769755000153485e-12	25.308810862961753	1.5631608000245577e-10
GSE73661_VDZ_W6	CANDIDATE6	Yes	main	6	11	-1.7567060386313056	0.2808675350448761	-2.429301305016335	-1.0841107722462762	0.0005369644217465255	6.590892190320515	0.0008591430747944409
GSE73661_VDZ_W6	CANDIDATE6	Yes	omit_control7	6	10	-1.7262219485555494	0.2830252092266715	-2.4002086505960842	-1.0522352465150147	0.0005609929588176343	6.765159192102298	0.0014959812235136915
GSE73661_VDZ_W6	COMMON194_INFLAMMATION	No	main	21	11	0.5750887534698652	0.06805979664476888	0.4351577803220864	0.715019726617644	6.486496445364857e-09	25.8781865137616	2.075678862516754e-08
GSE73661_VDZ_W6	COMMON194_INFLAMMATION	No	omit_control7	21	10	0.5608907371839624	0.06734402075171897	0.42221023971753024	0.6995712346503946	1.097878147383011e-08	25.060976526089377	5.8553501193760586e-08
GSE73661_VDZ_W6	COMMON194_INFLAMMATION	Yes	main	6	11	0.16279981300151114	0.07551249203786516	-0.019403853545738536	0.3450034795487608	0.07185674489388673	6.369704143846546	0.07664719455347918
