program	model	estimate	se	lower	upper	p	n	df	rank	raw_condition	standardized_condition	max_VIF	max_leverage	exploratory_FDR_within_model
MATURE_COLONOCYTE6_EXPLORATORY	arm_response	0.685812469951923	0.27140165353124	0.143288294867213	1.22833664503663	0.0140718739427041	65	62	3	3.41990480101429	1.24261094532831	1.04792899408284	0.0709134615384615	0.0562874957708164
MATURE_COLONOCYTE6_EXPLORATORY	no_baseline_inflammation	0.375292946601578	0.245333927399437	-0.115282560825773	0.865868454028928	0.131254924558332	65	61	4	5.74565101266806	1.43152836572659	1.13399718794043	0.232369393908115	0.468802656337484
MATURE_COLONOCYTE6_EXPLORATORY	baseline_only	0.873524244166084	0.234570098984513	0.404472341902055	1.34257614643011	0.000430364873121937	65	61	4	79.5631536399832	1.31924863997879	1.07635275216574	0.132603317175405	0.00172145949248775
MATURE_COLONOCYTE6_EXPLORATORY	primary_baseline_inflammation	0.599406927278263	0.225819525581475	0.147700622089346	1.05111323246718	0.0101580099509826	65	60	5	85.4790389762674	1.60440118000794	1.20574085553824	0.373988757841433	0.0288595996757965
MATURE_COLONOCYTE6_EXPLORATORY	baseline_inflammation_Mayo	0.618850341742762	0.218999259092108	0.180633836494698	1.05706684699083	0.00642666866580075	65	59	6	154.65217114224	1.70330879470671	1.26682393120505	0.409892342549856	0.0194380859762872
MATURE_COLONOCYTE6_EXPLORATORY	baseline_inflammation_epithelial	0.569831723904034	0.228469847954196	0.112664614115159	1.02699883369291	0.0154484365500901	65	59	6	86.63636291443	1.65554097537397	1.23066132443853	0.374839883039852	0.0617937462003605
MATURE_COLONOCYTE6_EXPLORATORY	baseline_inflammation_barcode	0.527941503933406	0.222033139672038	0.0831556776087437	0.972727330258069	0.0208568273455356	65	56	9	87.4583068606964	2.68916899718422	1.90969592521598	0.419760082066126	0.0824694207180282
MATURE_COLONOCYTE6_EXPLORATORY	baseline_inflammation_MARS_TableS1_column_	0.373017521082178	0.148679844988343	0.0742341863333891	0.671800855830967	0.0154693703186642	65	49	16	293.324865176375	15.4967770439089	26.3091892093131	0.587214416914517	0.0154693703186642
MATURE_COLONOCYTE6_EXPLORATORY	baseline_inflammation_MARS_MSigDB74_	0.3636847362532	0.148263359992872	0.0657383594379469	0.661631113068454	0.017774379812099	65	49	16	266.535540096636	14.098384678774	19.9186802377538	0.544228425923863	0.017774379812099
MATURE_COLONOCYTE6_EXPLORATORY	CT_conditioned	0.206681014922609	0.0817668008298193	0.0430069800789389	0.37035504976628	0.0142281876639117	65	58	7	566.006947094331	7.97172501803005	13.16346331606	0.410740534612299	0.0142281876639117
UC_Maciag2024_TableS2_CT_Colonocytes_reported_marker_mean_proxy	arm_response	0.194305928671059	0.127591009700516	-0.0607448655498015	0.449356722891919	0.132873042642561	65	62	3	3.41990480101429	1.24261094532831	1.04792899408284	0.0709134615384615	0.132873042642561
UC_Maciag2024_TableS2_CT_Colonocytes_reported_marker_mean_proxy	no_baseline_inflammation	0.0764703159546093	0.12209099161838	-0.167665710400923	0.320606342310142	0.533429706315878	65	61	4	5.74565101266806	1.43152836572659	1.13399718794043	0.232369393908115	0.533429706315878
UC_Maciag2024_TableS2_CT_Colonocytes_reported_marker_mean_proxy	baseline_only	0.294639886930097	0.107840027649871	0.0790004242349077	0.510279349625286	0.00821798498346255	65	61	4	189.116474405377	1.33179339650394	1.08074516564368	0.139222074237996	0.0109573133112834
UC_Maciag2024_TableS2_CT_Colonocytes_reported_marker_mean_proxy	primary_baseline_inflammation	0.200369676656247	0.108350120479021	-0.0163628333529208	0.417102186665415	0.0693450770029499	65	60	5	196.901056213482	1.59061609495947	1.20469522150892	0.331344405443299	0.0924601026705998
UC_Maciag2024_TableS2_CT_Colonocytes_reported_marker_mean_proxy	baseline_inflammation_Mayo	0.206923980413058	0.107184905762188	-0.00755252061790657	0.421400481444023	0.058351256292526	65	59	6	299.732075684426	1.67022547767613	1.24948664094722	0.359698829919442	0.0778016750567013
