series	program	n_members	n_measured	coverage	missing
GSE92415	CT_MARKERS_EXCLUDING_CANDIDATE6	16	14	0.875	TMIGD1;TMSB4X
GSE92415	GOBP_INTESTINAL_ABSORPTION	44	44	1	""
GSE92415	GOBP_BRUSH_BORDER_ASSEMBLY	7	6	0.857142857142857	TMIGD1
GSE92415	HALLMARK_E2F_TARGETS	200	199	0.995	MMS22L
GSE92415	COMMON194_INFLAMMATION	194	194	1	""
GSE92415	CANDIDATE6	6	6	1	""
GSE73661	CT_MARKERS_EXCLUDING_CANDIDATE6	16	12	0.75	FABP1;NEAT1;PHGR1;TMSB4X
GSE73661	GOBP_INTESTINAL_ABSORPTION	44	39	0.886363636363636	EZR;F11R;FOLH1;PNLIP;PRAP1
GSE73661	GOBP_BRUSH_BORDER_ASSEMBLY	7	7	1	""
GSE73661	HALLMARK_E2F_TARGETS	200	198	0.99	NME1;NOP56
GSE73661	COMMON194_INFLAMMATION	194	194	1	""
GSE73661	CANDIDATE6	6	6	1	""
