feature_row	original_symbol	canonical_symbol
183	TNFRSF9	TNFRSF9
198	SLC2A5	SLC2A5
217	KIF1B	KIF1B
263	TNFRSF1B	TNFRSF1B
302	PDPN	PDPN
532	STMN1	STMN1
587	PPP1R8	PPP1R8
589	RPA2	RPA2
594	PTAFR	PTAFR
613	EPB41	EPB41
668	LCK	LCK
690	AK2	AK2
748	CSF3R	CSF3R
763	CDCA8	CDCA8
830	CTPS1	CTPS1
842	GUCA2A	GUCA2A
872	CDC20	CDC20
901	KIF2C	KIF2C
922	NASP	NASP
989	CDKN2C	CDKN2C
1125	USP1	USP1
1157	PDE4B	PDE4B
1178	DEPDC1	DEPDC1
1374	F3	F3
1491	GNAI3	GNAI3
1506	CSF1	CSF1
1530	KCNA3	KCNA3
1585	DCLRE1B	DCLRE1B
1646	HMGCS2	HMGCS2
1766	ANP32E	ANP32E
1954	CKS1B	CKS1B
2131	SLAMF1	SLAMF1
2133	CD48	CD48
2141	F11R	F11R
2160	APOA2	APOA2
2263	SELL	SELL
2264	SELE	SELE
2301	PRDX6	PRDX6
2392	RGS16	RGS16
2456	RGS1	RGS1
2540	UBE2T	UBE2T
2563	BTG2	BTG2
2630	IL10	IL10
2645	CD55	CD55
2806	LBR	LBR
3046	NLRP3	NLRP3
3218	RRM2	RRM2
3220	C2orf48	RRM2
3283	SMC6	SMC6
3489	EIF2AK2	EIF2AK2
3552	ABCG5	ABCG5
3553	ABCG8	ABCG8
3596	MSH2	MSH2
3676	XPO1	XPO1
3761	MXD1	MXD1
3826	MTHFD2	MTHFD2
3859	POLE4	POLE4
3860	TACR1	TACR1
3945	FABP1	FABP1
4150	IL1R1	IL1R1
4154	IL18RAP	IL18RAP
4266	IL1A	IL1A
4267	IL1B	IL1B
4310	MARCO	MARCO
4363	MYO7B	MYO7B
4438	MCM6	MCM6
4482	ACVR2A	ACVR2A
4504	NMI	NMI
4505	TNFAIP6	TNFAIP6
4602	SPC25	SPC25
4766	CALCRL	CALCRL
4862	ORC2	ORC2
4937	FZD5	FZD5
4970	BARD1	BARD1
