context	program	outcome	visit	n	mean	se	lower	upper	control_mean	control_sd
GSE92415_W6	CANDIDATE6	No	baseline	33	9.125668686868687	0.21676645011016946	8.684129876895803	9.567207496841572	11.755682936507936	0.3603309497249585
GSE92415_W6	CANDIDATE6	No	post	33	9.277141414141415	0.19772581298011005	8.874387112819473	9.679895715463356	11.755682936507936	0.3603309497249585
GSE92415_W6	CANDIDATE6	No	delta	33	0.15147272727272765	0.19027590140565273	-0.23610660075737322	0.5390520553028285	11.755682936507936	0.3603309497249585
GSE92415_W6	CANDIDATE6	Yes	baseline	32	9.528092708333336	0.17680095754535635	9.16750477808382	9.888680638582851	11.755682936507936	0.3603309497249585
GSE92415_W6	CANDIDATE6	Yes	post	32	10.304955989583336	0.1732960756838512	9.951516313018391	10.65839566614828	11.755682936507936	0.3603309497249585
GSE92415_W6	CANDIDATE6	Yes	delta	32	0.7768632812499997	0.1846024483615869	0.4003641055788446	1.1533624569211547	11.755682936507936	0.3603309497249585
GSE92415_W6	COMMON194_INFLAMMATION	No	baseline	33	7.268837899168415	0.05320014361496329	7.16047275276223	7.3772030455746	6.596769767398369	0.12881859058309786
GSE92415_W6	COMMON194_INFLAMMATION	No	post	33	7.208865233111676	0.05233455010963651	7.102263242978374	7.315467223244978	6.596769767398369	0.12881859058309786
GSE92415_W6	COMMON194_INFLAMMATION	No	delta	33	-0.059972666056738226	0.04760990883443825	-0.15695087684070116	0.037005544727224705	6.596769767398369	0.12881859058309786
GSE92415_W6	COMMON194_INFLAMMATION	Yes	baseline	32	7.131289289012642	0.05088734116831738	7.027503872448497	7.235074705576787	6.596769767398369	0.12881859058309786
GSE92415_W6	COMMON194_INFLAMMATION	Yes	post	32	6.9351595359290625	0.05127976192011279	6.830573771964986	7.039745299893139	6.596769767398369	0.12881859058309786
GSE92415_W6	COMMON194_INFLAMMATION	Yes	delta	32	-0.19612975308357944	0.03578022016579694	-0.2691039932267462	-0.12315551294041266	6.596769767398369	0.12881859058309786
GSE73661_IFX_W4W6	CANDIDATE6	No	baseline	15	9.014739394388892	0.13654236472693013	8.721885148185754	9.30759364059203	12.200744479242427	0.3412446587299219
GSE73661_IFX_W4W6	CANDIDATE6	No	post	15	9.330483033888886	0.2670610550483576	8.757694038159885	9.903272029617886	12.200744479242427	0.3412446587299219
GSE73661_IFX_W4W6	CANDIDATE6	No	delta	15	0.31574363949999174	0.29390143633246485	-0.31461224870580085	0.9460995277057843	12.200744479242427	0.3412446587299219
GSE73661_IFX_W4W6	CANDIDATE6	Yes	baseline	8	9.527200246833328	0.17906098747103277	9.103788293345172	9.950612200321483	12.200744479242427	0.3412446587299219
GSE73661_IFX_W4W6	CANDIDATE6	Yes	post	8	11.060556303645837	0.12692722090271932	10.760421118911992	11.360691488379683	12.200744479242427	0.3412446587299219
GSE73661_IFX_W4W6	CANDIDATE6	Yes	delta	8	1.53335605681251	0.08666648852125784	1.328422376254756	1.738289737370264	12.200744479242427	0.3412446587299219
GSE73661_IFX_W4W6	COMMON194_INFLAMMATION	No	baseline	15	8.041037524638432	0.06536130722965125	7.90085146298737	8.181223586289493	7.185616434276983	0.08601355590083362
GSE73661_IFX_W4W6	COMMON194_INFLAMMATION	No	post	15	7.8112137696371144	0.07911912863460578	7.6415201157819554	7.9809074234922734	7.185616434276983	0.08601355590083362
GSE73661_IFX_W4W6	COMMON194_INFLAMMATION	No	delta	15	-0.2298237550013173	0.09925076803696334	-0.44269548105261414	-0.01695202895002046	7.185616434276983	0.08601355590083362
GSE73661_IFX_W4W6	COMMON194_INFLAMMATION	Yes	baseline	8	7.75989603394448	0.07266014138204524	7.588082101508335	7.931709966380624	7.185616434276983	0.08601355590083362
GSE73661_IFX_W4W6	COMMON194_INFLAMMATION	Yes	post	8	7.306119817884021	0.049077593561059236	7.190069749939727	7.422169885828315	7.185616434276983	0.08601355590083362
GSE73661_IFX_W4W6	COMMON194_INFLAMMATION	Yes	delta	8	-0.45377621606045837	0.09025271540575863	-0.6671899756810169	-0.24036245643989984	7.185616434276983	0.08601355590083362
GSE73661_VDZ_W6	CANDIDATE6	No	baseline	21	8.373442241333336	0.24072949341291724	7.871289317395163	8.87559516527151	12.200744479242427	0.3412446587299219
GSE73661_VDZ_W6	CANDIDATE6	No	post	21	8.682057248698408	0.27658385014413844	8.105113447193675	9.25900105020314	12.200744479242427	0.3412446587299219
GSE73661_VDZ_W6	CANDIDATE6	No	delta	21	0.3086150073650743	0.26244629203348085	-0.23883836468722908	0.8560683794173777	12.200744479242427	0.3412446587299219
GSE73661_VDZ_W6	CANDIDATE6	Yes	baseline	6	9.67906899377779	0.4029853251931356	8.643162236808323	10.714975750747257	12.200744479242427	0.3412446587299219
GSE73661_VDZ_W6	CANDIDATE6	Yes	post	6	10.444038440611122	0.26134344828080697	9.77223371959792	11.115843161624323	12.200744479242427	0.3412446587299219
GSE73661_VDZ_W6	CANDIDATE6	Yes	delta	6	0.7649694468333316	0.20584831052117664	0.23581951891117126	1.2941193747554918	12.200744479242427	0.3412446587299219
GSE73661_VDZ_W6	COMMON194_INFLAMMATION	No	baseline	21	7.885047108806498	0.07429988829348753	7.730060257690346	8.040033959922651	7.185616434276983	0.08601355590083362
GSE73661_VDZ_W6	COMMON194_INFLAMMATION	No	post	21	7.760705187746848	0.0629250371574235	7.629445860318616	7.89196451517508	7.185616434276983	0.08601355590083362
GSE73661_VDZ_W6	COMMON194_INFLAMMATION	No	delta	21	-0.12434192105964853	0.09217367254507491	-0.31661283278892793	0.06792899066963085	7.185616434276983	0.08601355590083362
