program	remission	visit	n	mean	se	lower	upper
CT_MARKERS_EXCLUDING_CANDIDATE6	Non_Remission	baseline	10	9.751187390222254	0.16589744586582	9.375901294766962	10.126473485677547
CT_MARKERS_EXCLUDING_CANDIDATE6	Non_Remission	post	10	9.841695302687523	0.18092373816519972	9.43241737247689	10.250973232898156
CT_MARKERS_EXCLUDING_CANDIDATE6	Non_Remission	delta	10	0.09050791246526932	0.26020045845433026	-0.49810641839057057	0.6791222433211093
CT_MARKERS_EXCLUDING_CANDIDATE6	Remission	baseline	6	9.67923439446023	0.2926060289517726	8.92706665143913	10.431402137481331
CT_MARKERS_EXCLUDING_CANDIDATE6	Remission	post	6	9.261245422932006	0.2922006899695149	8.510119636935974	10.01237120892804
CT_MARKERS_EXCLUDING_CANDIDATE6	Remission	delta	6	-0.41798897152822306	0.3588803732023129	-1.3405203400484702	0.5045423969920242
GOBP_INTESTINAL_ABSORPTION	Non_Remission	baseline	10	2.8080123794586327	0.16174344673057905	2.4421232829013833	3.173901476015882
GOBP_INTESTINAL_ABSORPTION	Non_Remission	post	10	2.696788832153632	0.14594000094979714	2.3666496136662714	3.0269280506409926
GOBP_INTESTINAL_ABSORPTION	Non_Remission	delta	10	-0.11122354730500086	0.16166180106862668	-0.47692794854325316	0.2544808539332515
GOBP_INTESTINAL_ABSORPTION	Remission	baseline	6	2.7178650448831623	0.18217984309287455	2.249556849409545	3.1861732403567795
GOBP_INTESTINAL_ABSORPTION	Remission	post	6	2.564321299675345	0.11352837287343023	2.2724873265375587	2.8561552728131314
GOBP_INTESTINAL_ABSORPTION	Remission	delta	6	-0.15354374520781716	0.1900523833169114	-0.6420889495816597	0.3350014591660255
GOBP_BRUSH_BORDER_ASSEMBLY	Non_Remission	baseline	10	5.937463172447444	0.15833931136888552	5.579274765081784	6.295651579813104
GOBP_BRUSH_BORDER_ASSEMBLY	Non_Remission	post	10	5.876905494775253	0.2232235486033457	5.371938745396961	6.381872244153544
GOBP_BRUSH_BORDER_ASSEMBLY	Non_Remission	delta	10	-0.06055767767219132	0.2542229637366323	-0.6356499760368023	0.5145346206924196
GOBP_BRUSH_BORDER_ASSEMBLY	Remission	baseline	6	5.80607279209746	0.31589823170162634	4.994030535775628	6.618115048419292
GOBP_BRUSH_BORDER_ASSEMBLY	Remission	post	6	5.353833623039777	0.2816455261210684	4.629840749504726	6.077826496574828
GOBP_BRUSH_BORDER_ASSEMBLY	Remission	delta	6	-0.45223916905768213	0.3804808064214586	-1.4302962188529404	0.5258178807375762
HALLMARK_E2F_TARGETS	Non_Remission	baseline	10	2.5723239815898973	0.13126205992011195	2.275388572537969	2.8692593906418256
HALLMARK_E2F_TARGETS	Non_Remission	post	10	2.592584355539458	0.14514287924178573	2.2642483516334972	2.9209203594454185
HALLMARK_E2F_TARGETS	Non_Remission	delta	10	0.020260373949560512	0.17846964072830765	-0.3834660021660029	0.4239867500651239
HALLMARK_E2F_TARGETS	Remission	baseline	6	2.564439172554894	0.2056058451248339	2.0359125217763427	3.0929658233334454
HALLMARK_E2F_TARGETS	Remission	post	6	3.271765486442174	0.17192595325981644	2.829815753918032	3.713715218966316
HALLMARK_E2F_TARGETS	Remission	delta	6	0.7073263138872806	0.2913301725734258	-0.04156173590276058	1.4562143636773217
COMMON194_INFLAMMATION	Non_Remission	baseline	10	1.8554954750020631	0.15336554480810438	1.5085585092879608	2.2024324407161657
COMMON194_INFLAMMATION	Non_Remission	post	10	1.90642496439337	0.17391723065158327	1.5129968553408633	2.2998530734458766
COMMON194_INFLAMMATION	Non_Remission	delta	10	0.05092948939130657	0.16417903948259727	-0.3204693007555801	0.4223282795381933
COMMON194_INFLAMMATION	Remission	baseline	6	1.9765182552256872	0.25963125547341415	1.3091148659422773	2.6439216445090974
COMMON194_INFLAMMATION	Remission	post	6	1.5651676889319193	0.10337755424126954	1.299427225786804	1.8309081520770345
COMMON194_INFLAMMATION	Remission	delta	6	-0.41135056629376776	0.25143442004631567	-1.0576833193185782	0.23498218673104254
CANDIDATE6	Non_Remission	baseline	10	8.208745834399663	0.3327227456833697	7.456074692026142	8.961416976773183
CANDIDATE6	Non_Remission	post	10	7.4207115818202825	0.3104405256314562	6.7184463231402445	8.122976840500321
CANDIDATE6	Non_Remission	delta	10	-0.7880342525793814	0.37564344586561	-1.6377987643024707	0.061730259143708
CANDIDATE6	Remission	baseline	6	6.16625636909239	0.5824057036472182	4.669134846325864	7.663377891858916
CANDIDATE6	Remission	post	6	7.934509332396279	0.5309080702893539	6.569766690517738	9.299251974274819
CANDIDATE6	Remission	delta	6	1.7682529633038904	0.45673235330534634	0.5941850721497395	2.9423208544580413
