program	omitted_gene	model	n	remission	estimate	se	lower	upper	p	df	max_leverage	evaluable	reason
CT_MARKERS_EXCLUDING_CANDIDATE6	ATP1B3	baseline_ANCOVA	16	6	-0.5707456080531883	0.38115560210391014	-1.394182224073679	0.2526910079673024	0.15816902856493495	13.0	0.5083802564151898	True	
CT_MARKERS_EXCLUDING_CANDIDATE6	CEACAM7	baseline_ANCOVA	16	6	-0.5178943574319628	0.3654255353365747	-1.307348230244235	0.2715595153803093	0.17993273729092776	13.0	0.49106659449764045	True	
CT_MARKERS_EXCLUDING_CANDIDATE6	FABP1	baseline_ANCOVA	16	6	-0.5961334206050197	0.3744554980589295	-1.4050953418516947	0.21282850064165526	0.13539858553629808	13.0	0.5153558650533752	True	
CT_MARKERS_EXCLUDING_CANDIDATE6	FTH1	baseline_ANCOVA	16	6	-0.6354853452504869	0.39112963213420815	-1.480469543127052	0.20949885262607815	0.1282035269475479	13.0	0.5101654737058858	True	
CT_MARKERS_EXCLUDING_CANDIDATE6	FXYD3	baseline_ANCOVA	16	6	-0.5060360276823395	0.3924057749042761	-1.353777164400531	0.34170510903585194	0.2196700807151008	13.0	0.5136849485107104	True	
CT_MARKERS_EXCLUDING_CANDIDATE6	IFI27	baseline_ANCOVA	16	6	-0.5235822490283426	0.3800357870626539	-1.3445996517326675	0.2974351536759824	0.19154556407112325	13.0	0.4765819621930847	True	
CT_MARKERS_EXCLUDING_CANDIDATE6	MYL12B	baseline_ANCOVA	16	6	-0.5691622231916922	0.3844107310878857	-1.3996311178419072	0.2613066714585228	0.162535713037776	13.0	0.5067053172941094	True	
CT_MARKERS_EXCLUDING_CANDIDATE6	MYL6	baseline_ANCOVA	16	6	-0.612037863420869	0.39333889715063897	-1.461794888192751	0.237719161351013	0.14370785867223165	13.0	0.5084464957121599	True	
CT_MARKERS_EXCLUDING_CANDIDATE6	NEAT1	baseline_ANCOVA	16	6	-0.5751381306961161	0.3954791867216246	-1.4295189699729094	0.27924270858067735	0.16958364433372108	13.0	0.4958225499451747	True	
CT_MARKERS_EXCLUDING_CANDIDATE6	PHGR1	baseline_ANCOVA	16	6	-0.5859443743671147	0.3793455329829771	-1.4054705737927105	0.23358182505848102	0.14642613864622853	13.0	0.5050938444448363	True	
CT_MARKERS_EXCLUDING_CANDIDATE6	PKIB	baseline_ANCOVA	16	6	-0.6094642465167377	0.3806229472495824	-1.431750131685226	0.21282163865175052	0.1333363435702985	13.0	0.5112472505086405	True	
CT_MARKERS_EXCLUDING_CANDIDATE6	PLAC8	baseline_ANCOVA	16	6	-0.4878497656775642	0.36395547508618425	-1.2741277664017812	0.2984282350466526	0.20306787267354864	13.0	0.4958354076953251	True	
CT_MARKERS_EXCLUDING_CANDIDATE6	PRDX6	baseline_ANCOVA	16	6	-0.6349467219124931	0.3889978109546864	-1.4753254001316358	0.20543195630664957	0.1265988312115141	13.0	0.5148003500969112	True	
