program	gene	fraction_CT_cells_detected	n_eligible_samples_detected	n_eligible_samples
CT_MARKERS_EXCLUDING_CANDIDATE6	ATP1B3	0.5412404930500918	66	66
CT_MARKERS_EXCLUDING_CANDIDATE6	CEACAM7	0.5096380802517703	66	66
CT_MARKERS_EXCLUDING_CANDIDATE6	FABP1	0.7191188040912667	66	66
CT_MARKERS_EXCLUDING_CANDIDATE6	FTH1	0.9912798321531603	66	66
CT_MARKERS_EXCLUDING_CANDIDATE6	FXYD3	0.7084972462627852	66	66
CT_MARKERS_EXCLUDING_CANDIDATE6	IFI27	0.7947810123262523	66	66
CT_MARKERS_EXCLUDING_CANDIDATE6	MYL12B	0.8711644374508262	66	66
CT_MARKERS_EXCLUDING_CANDIDATE6	MYL6	0.969840020980855	66	66
CT_MARKERS_EXCLUDING_CANDIDATE6	NEAT1	0.9141096249672174	66	66
CT_MARKERS_EXCLUDING_CANDIDATE6	PHGR1	0.9941646997115132	66	66
CT_MARKERS_EXCLUDING_CANDIDATE6	PKIB	0.4459087332808812	66	66
CT_MARKERS_EXCLUDING_CANDIDATE6	PLAC8	0.5366509310254393	66	66
CT_MARKERS_EXCLUDING_CANDIDATE6	PRDX6	0.6945974298452662	66	66
CT_MARKERS_EXCLUDING_CANDIDATE6	SLC51B	0.2728822449514818	66	66
CT_MARKERS_EXCLUDING_CANDIDATE6	TMIGD1	0.18430369787568843	66	66
CT_MARKERS_EXCLUDING_CANDIDATE6	TMSB4X	0.9847233149750853	66	66
GOBP_INTESTINAL_ABSORPTION	ABCG5	0.0012457382638342512	15	66
GOBP_INTESTINAL_ABSORPTION	ABCG8	0.0027537372147915028	26	66
GOBP_INTESTINAL_ABSORPTION	ACO1	0.1524390243902439	66	66
GOBP_INTESTINAL_ABSORPTION	ADRA2A	0.07317073170731707	65	66
GOBP_INTESTINAL_ABSORPTION	AKR1C1	0.013834251245738264	59	66
GOBP_INTESTINAL_ABSORPTION	APOA1	0.0017702596380802518	16	66
GOBP_INTESTINAL_ABSORPTION	APOA2	6.556517178075007e-05	1	66
GOBP_INTESTINAL_ABSORPTION	APOA4	6.556517178075007e-05	1	66
GOBP_INTESTINAL_ABSORPTION	CD36	0.0030815630736952533	26	66
GOBP_INTESTINAL_ABSORPTION	CEL	0.0065565171780750066	39	66
GOBP_INTESTINAL_ABSORPTION	CLDN15	0.09828219249934435	64	66
GOBP_INTESTINAL_ABSORPTION	CLDN2	0.0044584316810910045	27	66
GOBP_INTESTINAL_ABSORPTION	CYP8B1	0.0	0	66
GOBP_INTESTINAL_ABSORPTION	ENPP7	0.0	0	66
GOBP_INTESTINAL_ABSORPTION	EPB41	0.18253343823760818	66	66
GOBP_INTESTINAL_ABSORPTION	EZR	0.7609493836873853	66	66
GOBP_INTESTINAL_ABSORPTION	F11R	0.3563467086283766	66	66
GOBP_INTESTINAL_ABSORPTION	FABP2	0.24377130868082875	65	66
GOBP_INTESTINAL_ABSORPTION	FOLH1	0.0040650406504065045	10	66
GOBP_INTESTINAL_ABSORPTION	GCNT3	0.4626934172567532	66	66
GOBP_INTESTINAL_ABSORPTION	HAMP	0.001049042748492001	11	66
GOBP_INTESTINAL_ABSORPTION	HEPH	0.3932599003409389	66	66
GOBP_INTESTINAL_ABSORPTION	IREB2	0.15499606608969316	66	66
GOBP_INTESTINAL_ABSORPTION	KCNQ1	0.1658143194335169	66	66
GOBP_INTESTINAL_ABSORPTION	LDLR	0.3806713873590349	66	66
GOBP_INTESTINAL_ABSORPTION	LEP	0.0001966955153422502	3	66
GOBP_INTESTINAL_ABSORPTION	LIMA1	0.6042486231313926	66	66
GOBP_INTESTINAL_ABSORPTION	LPCAT3	0.18259900340938892	66	66
GOBP_INTESTINAL_ABSORPTION	MOGAT2	0.19885916601101494	66	66
GOBP_INTESTINAL_ABSORPTION	NPC1	0.09657749803304484	66	66
GOBP_INTESTINAL_ABSORPTION	NPC1L1	0.00026226068712300026	4	66
GOBP_INTESTINAL_ABSORPTION	PLS1	0.5601888276947286	66	66
GOBP_INTESTINAL_ABSORPTION	PNLIP	0.0	0	66
GOBP_INTESTINAL_ABSORPTION	PRAP1	0.15184893784421716	66	66
GOBP_INTESTINAL_ABSORPTION	SCARB1	0.055009179124049304	66	66
GOBP_INTESTINAL_ABSORPTION	SLC26A6	0.17709152897980593	66	66
GOBP_INTESTINAL_ABSORPTION	SLC2A5	0.007539994754786257	40	66
GOBP_INTESTINAL_ABSORPTION	SLC46A1	0.011146079202727512	33	66
GOBP_INTESTINAL_ABSORPTION	SLC5A1	0.1495541568318909	65	66
GOBP_INTESTINAL_ABSORPTION	SOAT2	6.556517178075007e-05	1	66
GOBP_INTESTINAL_ABSORPTION	TJP2	0.042158405455022294	66	66
GOBP_INTESTINAL_ABSORPTION	UGCG	0.23059270915289798	66	66
GOBP_INTESTINAL_ABSORPTION	VDR	0.3391686336218201	66	66
GOBP_INTESTINAL_ABSORPTION	VIL1	0.46682402307894044	66	66
GOBP_BRUSH_BORDER_ASSEMBLY	ANKS4B	0.20948072383949645	66	66
GOBP_BRUSH_BORDER_ASSEMBLY	CALML4	0.06733543141883032	65	66
GOBP_BRUSH_BORDER_ASSEMBLY	CDHR2	0.2863886703383163	66	66
GOBP_BRUSH_BORDER_ASSEMBLY	CDHR5	0.5687778651980068	66	66
GOBP_BRUSH_BORDER_ASSEMBLY	MYO7B	0.36480461578809337	66	66
GOBP_BRUSH_BORDER_ASSEMBLY	TMIGD1	0.18430369787568843	66	66
GOBP_BRUSH_BORDER_ASSEMBLY	USH1C	0.38126147390506165	66	66
HALLMARK_E2F_TARGETS	AK2	0.35942827170207187	66	66
HALLMARK_E2F_TARGETS	ANP32E	0.09225019669551535	66	66
HALLMARK_E2F_TARGETS	ASF1A	0.06372934697088907	64	66
HALLMARK_E2F_TARGETS	ASF1B	0.01848937844217152	49	66
HALLMARK_E2F_TARGETS	ATAD2	0.03015997901914503	52	66
HALLMARK_E2F_TARGETS	AURKA	0.0471413585103593	66	66
HALLMARK_E2F_TARGETS	AURKB	0.007277734067663257	36	66
HALLMARK_E2F_TARGETS	BARD1	0.0471413585103593	64	66
HALLMARK_E2F_TARGETS	BIRC5	0.013571990558615264	42	66
HALLMARK_E2F_TARGETS	BRCA1	0.021964332546551273	50	66
HALLMARK_E2F_TARGETS	BRCA2	0.011998426435877263	41	66
HALLMARK_E2F_TARGETS	BRMS1L	0.017505900865460267	55	66
HALLMARK_E2F_TARGETS	BUB1B	0.005835300288486756	28	66
HALLMARK_E2F_TARGETS	CBX5	0.14712824547600314	66	66
HALLMARK_E2F_TARGETS	CCNB2	0.02137424600052452	48	66
HALLMARK_E2F_TARGETS	CCNE1	0.024324678730658276	59	66
HALLMARK_E2F_TARGETS	CCP110	0.058680828743771306	65	66
HALLMARK_E2F_TARGETS	CDC20	0.017637031209021766	45	66
HALLMARK_E2F_TARGETS	CDC25A	0.015538945712037766	42	66
HALLMARK_E2F_TARGETS	CDC25B	0.04982953055337005	62	66
HALLMARK_E2F_TARGETS	CDCA3	0.011736165748754262	53	66
HALLMARK_E2F_TARGETS	CDCA8	0.029504327301337528	64	66
HALLMARK_E2F_TARGETS	CDK1	0.011736165748754262	41	66
HALLMARK_E2F_TARGETS	CDK4	0.13978494623655913	63	66
HALLMARK_E2F_TARGETS	CDKN1A	0.47764227642276424	66	66
HALLMARK_E2F_TARGETS	CDKN1B	0.16194597429845267	66	66
HALLMARK_E2F_TARGETS	CDKN2A	0.011146079202727512	39	66
HALLMARK_E2F_TARGETS	CDKN2C	0.014227642276422764	54	66
HALLMARK_E2F_TARGETS	CDKN3	0.017112509834775767	47	66
HALLMARK_E2F_TARGETS	CENPE	0.008064516129032258	41	66
HALLMARK_E2F_TARGETS	CENPM	0.0441253606084448	60	66
HALLMARK_E2F_TARGETS	CHEK1	0.045633359559402044	59	66
HALLMARK_E2F_TARGETS	CHEK2	0.024652504589562026	46	66
HALLMARK_E2F_TARGETS	CIT	0.0040650406504065045	28	66
HALLMARK_E2F_TARGETS	CKS1B	0.14293207448203515	66	66
HALLMARK_E2F_TARGETS	CKS2	0.1841070023603462	66	66
HALLMARK_E2F_TARGETS	CNOT9	0.08831628638867034	64	66
HALLMARK_E2F_TARGETS	CSE1L	0.06805664830841857	64	66
HALLMARK_E2F_TARGETS	CTCF	0.17505900865460267	66	66
HALLMARK_E2F_TARGETS	CTPS1	0.02779963283503803	49	66
HALLMARK_E2F_TARGETS	DCK	0.05717282979281406	65	66
HALLMARK_E2F_TARGETS	DCLRE1B	0.00944138473642801	42	66
HALLMARK_E2F_TARGETS	DCTPP1	0.33818515604510885	66	66
HALLMARK_E2F_TARGETS	DDX39A	0.16476527668502491	66	66
HALLMARK_E2F_TARGETS	DEK	0.488985051140834	66	66
HALLMARK_E2F_TARGETS	DEPDC1	0.005179648570679255	32	66
HALLMARK_E2F_TARGETS	DIAPH3	0.013637555730396014	50	66
HALLMARK_E2F_TARGETS	DLGAP5	0.003737214791502754	29	66
HALLMARK_E2F_TARGETS	DNMT1	0.09631523734592184	65	66
