series	control_id	program	score	n_arrays	gsms
GSE73661	1	CANDIDATE6	12.4556561866667	1	GSM1900159
GSE73661	1	COMMON194_INFLAMMATION	7.1372727062543	1	GSM1900159
GSE73661	12	CANDIDATE6	12.1837002583333	1	GSM1900225
GSE73661	12	COMMON194_INFLAMMATION	7.30937557136426	1	GSM1900225
GSE73661	14	CANDIDATE6	11.3957568383333	1	GSM1900222
GSE73661	14	COMMON194_INFLAMMATION	7.26055311267869	1	GSM1900222
GSE73661	2	CANDIDATE6	11.924275475	1	GSM1900150
GSE73661	2	COMMON194_INFLAMMATION	7.11603179826804	1	GSM1900150
GSE73661	21	CANDIDATE6	12.2224074366667	1	GSM1900221
GSE73661	21	COMMON194_INFLAMMATION	7.21850920135052	1	GSM1900221
GSE73661	25	CANDIDATE6	12.42485896	1	GSM1900224
GSE73661	25	COMMON194_INFLAMMATION	7.30301195125773	1	GSM1900224
GSE73661	3	CANDIDATE6	11.9488047383333	1	GSM1900151
GSE73661	3	COMMON194_INFLAMMATION	7.22446498837113	1	GSM1900151
GSE73661	4	CANDIDATE6	12.533833875	1	GSM1900152
GSE73661	4	COMMON194_INFLAMMATION	7.12806215664433	1	GSM1900152
GSE73661	52	CANDIDATE6	12.1757206616667	1	GSM1900223
GSE73661	52	COMMON194_INFLAMMATION	7.10828486360567	1	GSM1900223
GSE73661	6	CANDIDATE6	12.4375894616667	1	GSM1900226
GSE73661	6	COMMON194_INFLAMMATION	7.19257815583419	1	GSM1900226
GSE73661	7	CANDIDATE6	12.50558538	2	GSM1900153;GSM1900211
GSE73661	7	COMMON194_INFLAMMATION	7.043636271417955	2	GSM1900153;GSM1900211
GSE92415	GSM2429455	CANDIDATE6	12.046725	1	GSM2429455
GSE92415	GSM2429455	COMMON194_INFLAMMATION	6.58034502945508	1	GSM2429455
GSE92415	GSM2429456	CANDIDATE6	11.821925	1	GSM2429456
GSE92415	GSM2429456	COMMON194_INFLAMMATION	6.78304386475209	1	GSM2429456
GSE92415	GSM2429457	CANDIDATE6	11.6481083333333	1	GSM2429457
GSE92415	GSM2429457	COMMON194_INFLAMMATION	6.7091866580756	1	GSM2429457
GSE92415	GSM2429458	CANDIDATE6	11.9508666666667	1	GSM2429458
GSE92415	GSM2429458	COMMON194_INFLAMMATION	6.60740322042219	1	GSM2429458
GSE92415	GSM2429459	CANDIDATE6	11.7690583333333	1	GSM2429459
GSE92415	GSM2429459	COMMON194_INFLAMMATION	6.42686204712813	1	GSM2429459
GSE92415	GSM2429460	CANDIDATE6	12.0353833333333	1	GSM2429460
GSE92415	GSM2429460	COMMON194_INFLAMMATION	6.47881639175258	1	GSM2429460
GSE92415	GSM2429461	CANDIDATE6	11.9793083333333	1	GSM2429461
GSE92415	GSM2429461	COMMON194_INFLAMMATION	6.50057398748159	1	GSM2429461
GSE92415	GSM2429462	CANDIDATE6	11.9864166666667	1	GSM2429462
GSE92415	GSM2429462	COMMON194_INFLAMMATION	6.47816194035346	1	GSM2429462
GSE92415	GSM2429463	CANDIDATE6	11.3095916666667	1	GSM2429463
GSE92415	GSM2429463	COMMON194_INFLAMMATION	6.46108283382425	1	GSM2429463
GSE92415	GSM2429464	CANDIDATE6	12.0309666666667	1	GSM2429464
GSE92415	GSM2429464	COMMON194_INFLAMMATION	6.50562129970545	1	GSM2429464
GSE92415	GSM2429465	CANDIDATE6	11.637	1	GSM2429465
GSE92415	GSM2429465	COMMON194_INFLAMMATION	6.87127253804615	1	GSM2429465
GSE92415	GSM2429466	CANDIDATE6	11.714375	1	GSM2429466
GSE92415	GSM2429466	COMMON194_INFLAMMATION	6.45566407584683	1	GSM2429466
GSE92415	GSM2429467	CANDIDATE6	11.7451	1	GSM2429467
GSE92415	GSM2429467	COMMON194_INFLAMMATION	6.74550012272951	1	GSM2429467
GSE92415	GSM2429468	CANDIDATE6	11.0152166666667	1	GSM2429468
GSE92415	GSM2429468	COMMON194_INFLAMMATION	6.64582531664212	1	GSM2429468
GSE92415	GSM2429469	CANDIDATE6	10.770575	1	GSM2429469
GSE92415	GSM2429469	COMMON194_INFLAMMATION	6.68924823269514	1	GSM2429469
GSE92415	GSM2429470	CANDIDATE6	11.9300583333333	1	GSM2429470
GSE92415	GSM2429470	COMMON194_INFLAMMATION	6.72169735517919	1	GSM2429470
GSE92415	GSM2429471	CANDIDATE6	11.6352916666667	1	GSM2429471
GSE92415	GSM2429471	COMMON194_INFLAMMATION	6.53126003681885	1	GSM2429471
GSE92415	GSM2429472	CANDIDATE6	12.1723666666667	1	GSM2429472
GSE92415	GSM2429472	COMMON194_INFLAMMATION	6.45006100024546	1	GSM2429472
GSE92415	GSM2429473	CANDIDATE6	12.0161833333333	1	GSM2429473
GSE92415	GSM2429473	COMMON194_INFLAMMATION	6.74023492268041	1	GSM2429473
GSE92415	GSM2429474	CANDIDATE6	12.1191833333333	1	GSM2429474
GSE92415	GSM2429474	COMMON194_INFLAMMATION	6.56952727417771	1	GSM2429474
GSE92415	GSM2429475	CANDIDATE6	11.5356416666667	1	GSM2429475
GSE92415	GSM2429475	COMMON194_INFLAMMATION	6.58077696735395	1	GSM2429475
