program	gene	role
CT_MARKERS_EXCLUDING_CANDIDATE6	ATP1B3	primary_function
CT_MARKERS_EXCLUDING_CANDIDATE6	CEACAM7	primary_function
CT_MARKERS_EXCLUDING_CANDIDATE6	FABP1	primary_function
CT_MARKERS_EXCLUDING_CANDIDATE6	FTH1	primary_function
CT_MARKERS_EXCLUDING_CANDIDATE6	FXYD3	primary_function
CT_MARKERS_EXCLUDING_CANDIDATE6	IFI27	primary_function
CT_MARKERS_EXCLUDING_CANDIDATE6	MYL12B	primary_function
CT_MARKERS_EXCLUDING_CANDIDATE6	MYL6	primary_function
CT_MARKERS_EXCLUDING_CANDIDATE6	NEAT1	primary_function
CT_MARKERS_EXCLUDING_CANDIDATE6	PHGR1	primary_function
CT_MARKERS_EXCLUDING_CANDIDATE6	PKIB	primary_function
CT_MARKERS_EXCLUDING_CANDIDATE6	PLAC8	primary_function
CT_MARKERS_EXCLUDING_CANDIDATE6	PRDX6	primary_function
CT_MARKERS_EXCLUDING_CANDIDATE6	SLC51B	primary_function
CT_MARKERS_EXCLUDING_CANDIDATE6	TMIGD1	primary_function
CT_MARKERS_EXCLUDING_CANDIDATE6	TMSB4X	primary_function
GOBP_INTESTINAL_ABSORPTION	ABCG5	primary_function
GOBP_INTESTINAL_ABSORPTION	ABCG8	primary_function
GOBP_INTESTINAL_ABSORPTION	ACO1	primary_function
GOBP_INTESTINAL_ABSORPTION	ADRA2A	primary_function
GOBP_INTESTINAL_ABSORPTION	AKR1C1	primary_function
GOBP_INTESTINAL_ABSORPTION	APOA1	primary_function
GOBP_INTESTINAL_ABSORPTION	APOA2	primary_function
GOBP_INTESTINAL_ABSORPTION	APOA4	primary_function
GOBP_INTESTINAL_ABSORPTION	CD36	primary_function
GOBP_INTESTINAL_ABSORPTION	CEL	primary_function
GOBP_INTESTINAL_ABSORPTION	CLDN15	primary_function
GOBP_INTESTINAL_ABSORPTION	CLDN2	primary_function
GOBP_INTESTINAL_ABSORPTION	CYP8B1	primary_function
GOBP_INTESTINAL_ABSORPTION	ENPP7	primary_function
GOBP_INTESTINAL_ABSORPTION	EPB41	primary_function
GOBP_INTESTINAL_ABSORPTION	EZR	primary_function
GOBP_INTESTINAL_ABSORPTION	F11R	primary_function
GOBP_INTESTINAL_ABSORPTION	FABP2	primary_function
GOBP_INTESTINAL_ABSORPTION	FOLH1	primary_function
GOBP_INTESTINAL_ABSORPTION	GCNT3	primary_function
GOBP_INTESTINAL_ABSORPTION	HAMP	primary_function
GOBP_INTESTINAL_ABSORPTION	HEPH	primary_function
GOBP_INTESTINAL_ABSORPTION	IREB2	primary_function
GOBP_INTESTINAL_ABSORPTION	KCNQ1	primary_function
GOBP_INTESTINAL_ABSORPTION	LDLR	primary_function
GOBP_INTESTINAL_ABSORPTION	LEP	primary_function
GOBP_INTESTINAL_ABSORPTION	LIMA1	primary_function
GOBP_INTESTINAL_ABSORPTION	LPCAT3	primary_function
GOBP_INTESTINAL_ABSORPTION	MOGAT2	primary_function
GOBP_INTESTINAL_ABSORPTION	NPC1	primary_function
GOBP_INTESTINAL_ABSORPTION	NPC1L1	primary_function
GOBP_INTESTINAL_ABSORPTION	PLS1	primary_function
GOBP_INTESTINAL_ABSORPTION	PNLIP	primary_function
GOBP_INTESTINAL_ABSORPTION	PRAP1	primary_function
GOBP_INTESTINAL_ABSORPTION	SCARB1	primary_function
GOBP_INTESTINAL_ABSORPTION	SLC26A6	primary_function
GOBP_INTESTINAL_ABSORPTION	SLC2A5	primary_function
GOBP_INTESTINAL_ABSORPTION	SLC46A1	primary_function
GOBP_INTESTINAL_ABSORPTION	SLC5A1	primary_function
GOBP_INTESTINAL_ABSORPTION	SOAT2	primary_function
GOBP_INTESTINAL_ABSORPTION	TJP2	primary_function
GOBP_INTESTINAL_ABSORPTION	UGCG	primary_function
GOBP_INTESTINAL_ABSORPTION	VDR	primary_function
GOBP_INTESTINAL_ABSORPTION	VIL1	primary_function
GOBP_BRUSH_BORDER_ASSEMBLY	ANKS4B	primary_function
GOBP_BRUSH_BORDER_ASSEMBLY	CALML4	primary_function
GOBP_BRUSH_BORDER_ASSEMBLY	CDHR2	primary_function
GOBP_BRUSH_BORDER_ASSEMBLY	CDHR5	primary_function
GOBP_BRUSH_BORDER_ASSEMBLY	MYO7B	primary_function
GOBP_BRUSH_BORDER_ASSEMBLY	TMIGD1	primary_function
GOBP_BRUSH_BORDER_ASSEMBLY	USH1C	primary_function
HALLMARK_E2F_TARGETS	AK2	context
HALLMARK_E2F_TARGETS	ANP32E	context
HALLMARK_E2F_TARGETS	ASF1A	context
HALLMARK_E2F_TARGETS	ASF1B	context
HALLMARK_E2F_TARGETS	ATAD2	context
HALLMARK_E2F_TARGETS	AURKA	context
HALLMARK_E2F_TARGETS	AURKB	context
HALLMARK_E2F_TARGETS	BARD1	context
HALLMARK_E2F_TARGETS	BIRC5	context
HALLMARK_E2F_TARGETS	BRCA1	context
HALLMARK_E2F_TARGETS	BRCA2	context
HALLMARK_E2F_TARGETS	BRMS1L	context
HALLMARK_E2F_TARGETS	BUB1B	context
HALLMARK_E2F_TARGETS	CBX5	context
HALLMARK_E2F_TARGETS	CCNB2	context
HALLMARK_E2F_TARGETS	CCNE1	context
HALLMARK_E2F_TARGETS	CCP110	context
HALLMARK_E2F_TARGETS	CDC20	context
HALLMARK_E2F_TARGETS	CDC25A	context
HALLMARK_E2F_TARGETS	CDC25B	context
HALLMARK_E2F_TARGETS	CDCA3	context
HALLMARK_E2F_TARGETS	CDCA8	context
HALLMARK_E2F_TARGETS	CDK1	context
HALLMARK_E2F_TARGETS	CDK4	context
HALLMARK_E2F_TARGETS	CDKN1A	context
HALLMARK_E2F_TARGETS	CDKN1B	context
HALLMARK_E2F_TARGETS	CDKN2A	context
HALLMARK_E2F_TARGETS	CDKN2C	context
HALLMARK_E2F_TARGETS	CDKN3	context
HALLMARK_E2F_TARGETS	CENPE	context
HALLMARK_E2F_TARGETS	CENPM	context
HALLMARK_E2F_TARGETS	CHEK1	context
HALLMARK_E2F_TARGETS	CHEK2	context
HALLMARK_E2F_TARGETS	CIT	context
HALLMARK_E2F_TARGETS	CKS1B	context
HALLMARK_E2F_TARGETS	CKS2	context
HALLMARK_E2F_TARGETS	CNOT9	context
HALLMARK_E2F_TARGETS	CSE1L	context
HALLMARK_E2F_TARGETS	CTCF	context
HALLMARK_E2F_TARGETS	CTPS1	context
HALLMARK_E2F_TARGETS	DCK	context
HALLMARK_E2F_TARGETS	DCLRE1B	context
HALLMARK_E2F_TARGETS	DCTPP1	context
HALLMARK_E2F_TARGETS	DDX39A	context
HALLMARK_E2F_TARGETS	DEK	context
HALLMARK_E2F_TARGETS	DEPDC1	context
HALLMARK_E2F_TARGETS	DIAPH3	context
HALLMARK_E2F_TARGETS	DLGAP5	context
HALLMARK_E2F_TARGETS	DNMT1	context
HALLMARK_E2F_TARGETS	DONSON	context
HALLMARK_E2F_TARGETS	DSCC1	context
HALLMARK_E2F_TARGETS	DUT	context
HALLMARK_E2F_TARGETS	E2F8	context
HALLMARK_E2F_TARGETS	EED	context
HALLMARK_E2F_TARGETS	EIF2S1	context
HALLMARK_E2F_TARGETS	ESPL1	context
HALLMARK_E2F_TARGETS	EXOSC8	context
HALLMARK_E2F_TARGETS	EZH2	context
HALLMARK_E2F_TARGETS	FASTKD4	context
HALLMARK_E2F_TARGETS	GINS1	context
HALLMARK_E2F_TARGETS	GINS3	context
HALLMARK_E2F_TARGETS	GINS4	context
HALLMARK_E2F_TARGETS	GSPT1	context
HALLMARK_E2F_TARGETS	H2AX	context
HALLMARK_E2F_TARGETS	H2AZ1	context
HALLMARK_E2F_TARGETS	HELLS	context
HALLMARK_E2F_TARGETS	HMGA1	context
HALLMARK_E2F_TARGETS	HMGB2	context
HALLMARK_E2F_TARGETS	HMGB3	context
HALLMARK_E2F_TARGETS	HMMR	context
HALLMARK_E2F_TARGETS	HNRNPD	context
HALLMARK_E2F_TARGETS	HUS1	context
HALLMARK_E2F_TARGETS	ILF3	context
HALLMARK_E2F_TARGETS	ING3	context
HALLMARK_E2F_TARGETS	IPO7	context
HALLMARK_E2F_TARGETS	JPT1	context
HALLMARK_E2F_TARGETS	KIF18B	context
HALLMARK_E2F_TARGETS	KIF22	context
HALLMARK_E2F_TARGETS	KIF2C	context
HALLMARK_E2F_TARGETS	KIF4A	context
HALLMARK_E2F_TARGETS	KPNA2	context
HALLMARK_E2F_TARGETS	LBR	context
HALLMARK_E2F_TARGETS	LIG1	context
HALLMARK_E2F_TARGETS	LMNB1	context
HALLMARK_E2F_TARGETS	LUC7L3	context
HALLMARK_E2F_TARGETS	LYAR	context
HALLMARK_E2F_TARGETS	MAD2L1	context
HALLMARK_E2F_TARGETS	MCM2	context
HALLMARK_E2F_TARGETS	MCM3	context
HALLMARK_E2F_TARGETS	MCM4	context
HALLMARK_E2F_TARGETS	MCM5	context
HALLMARK_E2F_TARGETS	MCM6	context
HALLMARK_E2F_TARGETS	MCM7	context
HALLMARK_E2F_TARGETS	MELK	context
HALLMARK_E2F_TARGETS	MKI67	context
HALLMARK_E2F_TARGETS	MLH1	context
HALLMARK_E2F_TARGETS	MMS22L	context
HALLMARK_E2F_TARGETS	MRE11	context
HALLMARK_E2F_TARGETS	MSH2	context
HALLMARK_E2F_TARGETS	MTHFD2	context
HALLMARK_E2F_TARGETS	MXD3	context
HALLMARK_E2F_TARGETS	MYBL2	context
HALLMARK_E2F_TARGETS	MYC	context
HALLMARK_E2F_TARGETS	NAA38	context
HALLMARK_E2F_TARGETS	NAP1L1	context
HALLMARK_E2F_TARGETS	NASP	context
HALLMARK_E2F_TARGETS	NBN	context
HALLMARK_E2F_TARGETS	NCAPD2	context
HALLMARK_E2F_TARGETS	NME1	context
HALLMARK_E2F_TARGETS	NOLC1	context
HALLMARK_E2F_TARGETS	NOP56	context
HALLMARK_E2F_TARGETS	NUDT21	context
HALLMARK_E2F_TARGETS	NUP107	context
HALLMARK_E2F_TARGETS	NUP153	context
HALLMARK_E2F_TARGETS	NUP205	context
HALLMARK_E2F_TARGETS	ORC2	context
HALLMARK_E2F_TARGETS	ORC6	context
HALLMARK_E2F_TARGETS	PA2G4	context
HALLMARK_E2F_TARGETS	PAICS	context
HALLMARK_E2F_TARGETS	PAN2	context
HALLMARK_E2F_TARGETS	PCNA	context
HALLMARK_E2F_TARGETS	PDS5B	context
HALLMARK_E2F_TARGETS	PHF5A	context
HALLMARK_E2F_TARGETS	PLK1	context
HALLMARK_E2F_TARGETS	PLK4	context
HALLMARK_E2F_TARGETS	PMS2	context
HALLMARK_E2F_TARGETS	PNN	context
HALLMARK_E2F_TARGETS	POLA2	context
HALLMARK_E2F_TARGETS	POLD1	context
HALLMARK_E2F_TARGETS	POLD2	context
HALLMARK_E2F_TARGETS	POLD3	context
HALLMARK_E2F_TARGETS	POLE	context
HALLMARK_E2F_TARGETS	POLE4	context
HALLMARK_E2F_TARGETS	POP7	context
HALLMARK_E2F_TARGETS	PPM1D	context
HALLMARK_E2F_TARGETS	PPP1R8	context
HALLMARK_E2F_TARGETS	PRDX4	context
HALLMARK_E2F_TARGETS	PRIM2	context
HALLMARK_E2F_TARGETS	PRKDC	context
HALLMARK_E2F_TARGETS	PRPS1	context
HALLMARK_E2F_TARGETS	PSIP1	context
HALLMARK_E2F_TARGETS	PSMC3IP	context
HALLMARK_E2F_TARGETS	PTTG1	context
HALLMARK_E2F_TARGETS	RACGAP1	context
HALLMARK_E2F_TARGETS	RAD1	context
HALLMARK_E2F_TARGETS	RAD21	context
HALLMARK_E2F_TARGETS	RAD50	context
HALLMARK_E2F_TARGETS	RAD51AP1	context
HALLMARK_E2F_TARGETS	RAD51C	context
HALLMARK_E2F_TARGETS	RAN	context
HALLMARK_E2F_TARGETS	RANBP1	context
HALLMARK_E2F_TARGETS	RBBP7	context
HALLMARK_E2F_TARGETS	RFC1	context
HALLMARK_E2F_TARGETS	RFC2	context
HALLMARK_E2F_TARGETS	RFC3	context
HALLMARK_E2F_TARGETS	RNASEH2A	context
HALLMARK_E2F_TARGETS	RPA1	context
HALLMARK_E2F_TARGETS	RPA2	context
HALLMARK_E2F_TARGETS	RPA3	context
HALLMARK_E2F_TARGETS	RRM2	context
HALLMARK_E2F_TARGETS	SHMT1	context
HALLMARK_E2F_TARGETS	SLBP	context
HALLMARK_E2F_TARGETS	SMC1A	context
HALLMARK_E2F_TARGETS	SMC3	context
HALLMARK_E2F_TARGETS	SMC4	context
HALLMARK_E2F_TARGETS	SMC6	context
HALLMARK_E2F_TARGETS	SNRPB	context
HALLMARK_E2F_TARGETS	SPAG5	context
HALLMARK_E2F_TARGETS	SPC24	context
