program1	program2	n_shared	shared
CT_MARKERS_EXCLUDING_CANDIDATE6	CT_MARKERS_EXCLUDING_CANDIDATE6	16	ATP1B3;CEACAM7;FABP1;FTH1;FXYD3;IFI27;MYL12B;MYL6;NEAT1;PHGR1;PKIB;PLAC8;PRDX6;SLC51B;TMIGD1;TMSB4X
CT_MARKERS_EXCLUDING_CANDIDATE6	GOBP_INTESTINAL_ABSORPTION	0	
CT_MARKERS_EXCLUDING_CANDIDATE6	GOBP_BRUSH_BORDER_ASSEMBLY	1	TMIGD1
CT_MARKERS_EXCLUDING_CANDIDATE6	HALLMARK_E2F_TARGETS	0	
CT_MARKERS_EXCLUDING_CANDIDATE6	COMMON194_INFLAMMATION	0	
CT_MARKERS_EXCLUDING_CANDIDATE6	CANDIDATE6	0	
GOBP_INTESTINAL_ABSORPTION	CT_MARKERS_EXCLUDING_CANDIDATE6	0	
GOBP_INTESTINAL_ABSORPTION	GOBP_INTESTINAL_ABSORPTION	44	ABCG5;ABCG8;ACO1;ADRA2A;AKR1C1;APOA1;APOA2;APOA4;CD36;CEL;CLDN15;CLDN2;CYP8B1;ENPP7;EPB41;EZR;F11R;FABP2;FOLH1;GCNT3;HAMP;HEPH;IREB2;KCNQ1;LDLR;LEP;LIMA1;LPCAT3;MOGAT2;NPC1;NPC1L1;PLS1;PNLIP;PRAP1;SCARB1;SLC26A6;SLC2A5;SLC46A1;SLC5A1;SOAT2;TJP2;UGCG;VDR;VIL1
GOBP_INTESTINAL_ABSORPTION	GOBP_BRUSH_BORDER_ASSEMBLY	0	
GOBP_INTESTINAL_ABSORPTION	HALLMARK_E2F_TARGETS	0	
GOBP_INTESTINAL_ABSORPTION	COMMON194_INFLAMMATION	1	LDLR
GOBP_INTESTINAL_ABSORPTION	CANDIDATE6	0	
GOBP_BRUSH_BORDER_ASSEMBLY	CT_MARKERS_EXCLUDING_CANDIDATE6	1	TMIGD1
GOBP_BRUSH_BORDER_ASSEMBLY	GOBP_INTESTINAL_ABSORPTION	0	
GOBP_BRUSH_BORDER_ASSEMBLY	GOBP_BRUSH_BORDER_ASSEMBLY	7	ANKS4B;CALML4;CDHR2;CDHR5;MYO7B;TMIGD1;USH1C
GOBP_BRUSH_BORDER_ASSEMBLY	HALLMARK_E2F_TARGETS	0	
GOBP_BRUSH_BORDER_ASSEMBLY	COMMON194_INFLAMMATION	0	
